DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
071;CollectivityId=75426;CULLES LES ROCHES;Commune;ServiceId=75914;assainissement collectif;Régie;208;En cours de saisie;;Non vérifié;0;4,03;Non vérifié;1;;;;18;;465,8;;;185;;0;;0,15;;0;;2,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=75650;Sermesse;Commune;ServiceId=76140;assainissement collectif;Régie;254;Confirmé / publié;240;Sans anomalie apparente;0;3,36;Sans anomalie apparente;1;102;;;18;;385;0;19,77;85;240;0;2,35;0,15;;0;;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=75526;Montceaux-l'Étoile;Commune;ServiceId=76013;assainissement collectif;Régie;311;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=75478;ISSY L'EVEQUE;Commune;ServiceId=75964;assainissement collectif;Régie;800;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=75412;Cluny;Commune;ServiceId=75900;assainissement collectif;Régie;5128;Confirmé / publié;4984;Sans anomalie apparente;0;;Non vérifié;0;2699;;;38,88;0;190,8;0;42,84;0;4984;10;1,85;0,15;;0;;1,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=75731;Syndicat Intercommunal à Vocation Multiple des Deux Roches;Syndicat Intercommunal à Vocations Multiples;ServiceId=76217;assainissement collectif : DEUX ROCHES;Délégation;1030;Confirmé / publié;1253;Sans anomalie apparente;0;3,55;Sans anomalie apparente;0;652;45,82;144,94;89,19;;191,9;0,2705;25,28;80,3;1253;10;1,92;0,15;;0;;0,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,826;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=188396;LE GRAND CHALON - Communauté d'Agglomération;Communauté d'agglomération;ServiceId=76221;assainissement collectif : Systèmes Vallée de Vaux;Délégation;5166;Confirmé / publié;4668;Sans anomalie apparente;0;2,1;Sans anomalie apparente;1;2291;49,53;123,56;40,86;;87,06;;33,71;0;4668;10;2,04;0,15;;0;;0,7255;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,6169;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=188396;LE GRAND CHALON - Communauté d'Agglomération;Communauté d'agglomération;ServiceId=75835;assainissement collectif : BOUZERON;Régie;147;Confirmé / publié;144;Sans anomalie apparente;0;2,18;Sans anomalie apparente;1;80;;;41,8;;220;;38,1;40;144;10;1,8;0,15;;0;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=243514;Communauté de Communes Bresse Louhannaise Intercom';Communauté de communes;ServiceId=76379;assainissement collectif : Sagy;Régie;1267;Confirmé / publié;655;Sans anomalie apparente;0;1,2;Sans anomalie apparente;1;273;;;31,14;;113,42;;27,86;31,82;655;10;2,4;0,15;;0;;0,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;CollectivityId=243514;Communauté de Communes Bresse Louhannaise Intercom';Communauté de communes;ServiceId=75942;assainissement collectif : Frontenaud;Régie;760;Confirmé / publié;325;Sans anomalie apparente;0;0,97;Sans anomalie apparente;1;136;;;28,56;;87,6;;39,77;0;325;10;2,39;0,15;;0;;0,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
