Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Abbéville-la-Rivière;91;91001;;2012;;
Abbéville-la-Rivière;91;91001;;2013;;
Abbéville-la-Rivière;91;91001;;2014;;
Abbéville-la-Rivière;91;91001;;2015;;
Abbéville-la-Rivière;91;91001;;2016;;
Abbéville-la-Rivière;91;91001;;2017;;
Abbéville-la-Rivière;91;91001;;2018;;
Abbéville-la-Rivière;91;91001;;2019;;
Abbéville-la-Rivière;91;91001;2.47;2020;3.59;6.06
Abbéville-la-Rivière;91;91001;;2021;;
Abbéville-la-Rivière;91;91001;3.91;2022;;
Abbéville-la-Rivière;91;91001;3.85;2023;;
Angerville;91;91016;;2012;;
Angerville;91;91016;;2013;;
Angerville;91;91016;;2014;;
Angerville;91;91016;;2015;;
Angerville;91;91016;;2016;;
Angerville;91;91016;;2017;;
Angerville;91;91016;;2018;;
Angerville;91;91016;;2019;;
Angerville;91;91016;2.47;2020;3.59;6.06
Angerville;91;91016;;2021;;
Angerville;91;91016;3.91;2022;;
Angerville;91;91016;3.85;2023;;
Angervilliers;91;91017;;2012;;
Angervilliers;91;91017;;2013;;
Angervilliers;91;91017;;2014;;
Angervilliers;91;91017;;2015;;
Angervilliers;91;91017;;2016;;
Angervilliers;91;91017;;2017;;
Angervilliers;91;91017;;2018;;
Angervilliers;91;91017;3.16;2019;;
Angervilliers;91;91017;3.12;2020;;
Angervilliers;91;91017;3.21;2021;;
Angervilliers;91;91017;3.71;2022;;
Angervilliers;91;91017;3.52;2023;;
Arpajon;91;91021;;2012;;
Arpajon;91;91021;;2013;;
Arpajon;91;91021;;2014;;
Arpajon;91;91021;;2015;;
Arpajon;91;91021;2.52;2016;;
Arpajon;91;91021;4.09;2017;;
Arpajon;91;91021;4.02;2018;;
Arpajon;91;91021;4.39;2019;1.42;5.81
Arpajon;91;91021;4.1;2020;;
Arpajon;91;91021;2.03;2021;;
Arpajon;91;91021;2.22;2022;0.62;2.84
Arpajon;91;91021;2.19;2023;;
Arrancourt;91;91022;;2012;;
Arrancourt;91;91022;;2013;;
Arrancourt;91;91022;;2014;;
Arrancourt;91;91022;;2015;;
Arrancourt;91;91022;;2016;;
Arrancourt;91;91022;;2017;;
Arrancourt;91;91022;;2018;;
Arrancourt;91;91022;;2019;;
Arrancourt;91;91022;2.47;2020;3.59;6.06
Arrancourt;91;91022;;2021;;
Arrancourt;91;91022;3.91;2022;;
Arrancourt;91;91022;3.85;2023;;
Athis-Mons;91;91027;2.05;2012;;
Athis-Mons;91;91027;2.04;2013;;
Athis-Mons;91;91027;2.05;2014;;
Athis-Mons;91;91027;2.06;2015;;
Athis-Mons;91;91027;1.97;2016;2.18;4.15
Athis-Mons;91;91027;1.97;2017;1.74;3.71
Athis-Mons;91;91027;2.19;2018;2.26;4.45
Athis-Mons;91;91027;2.48;2019;2.28;4.76
Athis-Mons;91;91027;2.46;2020;2.33;4.79
Athis-Mons;91;91027;2.68;2021;1.98;4.66
Athis-Mons;91;91027;3.02;2022;2.9;5.92
Athis-Mons;91;91027;3.22;2023;;
Authon-la-Plaine;91;91035;1.52;2012;;
Authon-la-Plaine;91;91035;1.53;2013;;
Authon-la-Plaine;91;91035;1.51;2014;;
Authon-la-Plaine;91;91035;1.57;2015;;
Authon-la-Plaine;91;91035;1.58;2016;;
Authon-la-Plaine;91;91035;1.65;2017;;
Authon-la-Plaine;91;91035;1.72;2018;;
Authon-la-Plaine;91;91035;1.78;2019;;
Authon-la-Plaine;91;91035;1.8;2020;;
Authon-la-Plaine;91;91035;2.02;2021;;
Authon-la-Plaine;91;91035;2.18;2022;;
Authon-la-Plaine;91;91035;2.19;2023;;
Auvernaux;91;91037;;2012;;
Auvernaux;91;91037;;2013;;
Auvernaux;91;91037;;2014;;
Auvernaux;91;91037;;2015;;
Auvernaux;91;91037;;2016;;
Auvernaux;91;91037;3.35;2017;3.54;6.89
Auvernaux;91;91037;2.98;2018;3.3;6.28
Auvernaux;91;91037;3.03;2019;3.93;6.96
Auvernaux;91;91037;3.07;2020;3.22;6.29
Auvernaux;91;91037;3.15;2021;5.84;8.99
Auvernaux;91;91037;3.32;2022;5.42;8.74
Auvernaux;91;91037;3.31;2023;;
Auvers-Saint-Georges;91;91038;;2012;;
Auvers-Saint-Georges;91;91038;;2013;;
Auvers-Saint-Georges;91;91038;;2014;;
Auvers-Saint-Georges;91;91038;;2015;;
Auvers-Saint-Georges;91;91038;;2016;;
Auvers-Saint-Georges;91;91038;3.35;2017;3.54;6.89
Auvers-Saint-Georges;91;91038;2.98;2018;3.3;6.28
Auvers-Saint-Georges;91;91038;3.03;2019;3.93;6.96
Auvers-Saint-Georges;91;91038;3.07;2020;3.22;6.29
Auvers-Saint-Georges;91;91038;3.15;2021;5.84;8.99
Auvers-Saint-Georges;91;91038;3.32;2022;5.42;8.74
Auvers-Saint-Georges;91;91038;3.31;2023;;
Avrainville;91;91041;;2012;;
Avrainville;91;91041;;2013;;
Avrainville;91;91041;;2014;;
Avrainville;91;91041;;2015;;
Avrainville;91;91041;2.52;2016;;
Avrainville;91;91041;4.09;2017;;
Avrainville;91;91041;4.02;2018;;
Avrainville;91;91041;4.39;2019;1.42;5.81
Avrainville;91;91041;4.1;2020;;
Avrainville;91;91041;2.03;2021;;
Avrainville;91;91041;2.22;2022;0.62;2.84
Avrainville;91;91041;2.19;2023;;
Ballainvilliers;91;91044;;2012;;
Ballainvilliers;91;91044;;2013;;
Ballainvilliers;91;91044;;2014;;
Ballainvilliers;91;91044;;2015;;
Ballainvilliers;91;91044;2.78;2016;;
Ballainvilliers;91;91044;;2017;;
Ballainvilliers;91;91044;;2018;;
Ballainvilliers;91;91044;;2019;;
Ballainvilliers;91;91044;2.9;2020;;
Ballainvilliers;91;91044;2.98;2021;2.46;5.44
Ballainvilliers;91;91044;3.15;2022;;
Ballainvilliers;91;91044;3.32;2023;;
Ballancourt-sur-Essonne;91;91045;;2012;;
Ballancourt-sur-Essonne;91;91045;;2013;;
Ballancourt-sur-Essonne;91;91045;;2014;;
Ballancourt-sur-Essonne;91;91045;;2015;;
Ballancourt-sur-Essonne;91;91045;;2016;;
Ballancourt-sur-Essonne;91;91045;3.35;2017;3.54;6.89
Ballancourt-sur-Essonne;91;91045;2.98;2018;3.3;6.28
Ballancourt-sur-Essonne;91;91045;3.03;2019;3.93;6.96
Ballancourt-sur-Essonne;91;91045;3.07;2020;3.22;6.29
Ballancourt-sur-Essonne;91;91045;3.15;2021;5.84;8.99
Ballancourt-sur-Essonne;91;91045;3.32;2022;5.42;8.74
Ballancourt-sur-Essonne;91;91045;3.31;2023;;
Baulne;91;91047;;2012;;
Baulne;91;91047;;2013;;
Baulne;91;91047;;2014;;
Baulne;91;91047;;2015;;
Baulne;91;91047;;2016;;
Baulne;91;91047;3.35;2017;3.54;6.89
Baulne;91;91047;2.98;2018;3.3;6.28
Baulne;91;91047;3.03;2019;3.93;6.96
Baulne;91;91047;3.07;2020;3.22;6.29
Baulne;91;91047;3.15;2021;5.84;8.99
Baulne;91;91047;3.32;2022;5.42;8.74
Baulne;91;91047;3.31;2023;;
Bièvres;91;91064;2.05;2012;;
Bièvres;91;91064;2.04;2013;;
Bièvres;91;91064;2.05;2014;;
Bièvres;91;91064;2.06;2015;;
Bièvres;91;91064;1.97;2016;;
Bièvres;91;91064;1.97;2017;;
Bièvres;91;91064;1.97;2018;;
Bièvres;91;91064;1.86;2019;;
Bièvres;91;91064;2.09;2020;;
Bièvres;91;91064;2.13;2021;;
Bièvres;91;91064;2.25;2022;;
Bièvres;91;91064;2.32;2023;;
Blandy;91;91067;;2012;;
Blandy;91;91067;;2013;;
Blandy;91;91067;;2014;;
Blandy;91;91067;;2015;;
Blandy;91;91067;;2016;;
Blandy;91;91067;4.41;2017;3.7;8.11
Blandy;91;91067;4.25;2018;5.15;9.4
Blandy;91;91067;4.32;2019;5.15;9.47
Blandy;91;91067;4.36;2020;5.15;9.51
Blandy;91;91067;4.9;2021;4.57;9.47
Blandy;91;91067;5.13;2022;4.14;9.27
Blandy;91;91067;5.56;2023;;
Boigneville;91;91069;;2012;;
Boigneville;91;91069;;2013;;
Boigneville;91;91069;;2014;;
Boigneville;91;91069;;2015;;
Boigneville;91;91069;1.74;2016;2.85;4.59
Boigneville;91;91069;;2017;;
Boigneville;91;91069;2.2;2018;;
Boigneville;91;91069;2.73;2019;2.41;5.14
Boigneville;91;91069;2.52;2020;2.41;4.93
Boigneville;91;91069;2.55;2021;2.48;5.03
Boigneville;91;91069;2.71;2022;2.59;5.3
Boigneville;91;91069;2.89;2023;;
Bois-Herpin;91;91075;;2012;;
Bois-Herpin;91;91075;;2013;;
Bois-Herpin;91;91075;;2014;;
Bois-Herpin;91;91075;;2015;;
Bois-Herpin;91;91075;;2016;;
Bois-Herpin;91;91075;;2017;;
Bois-Herpin;91;91075;;2018;;
Bois-Herpin;91;91075;;2019;;
Bois-Herpin;91;91075;2.47;2020;3.59;6.06
Bois-Herpin;91;91075;;2021;;
Bois-Herpin;91;91075;3.91;2022;;
Bois-Herpin;91;91075;3.85;2023;;
Boissy-la-Rivière;91;91079;;2012;;
Boissy-la-Rivière;91;91079;;2013;;
Boissy-la-Rivière;91;91079;;2014;;
Boissy-la-Rivière;91;91079;;2015;;
Boissy-la-Rivière;91;91079;;2016;;
Boissy-la-Rivière;91;91079;;2017;;
Boissy-la-Rivière;91;91079;;2018;;
Boissy-la-Rivière;91;91079;;2019;;
Boissy-la-Rivière;91;91079;2.47;2020;3.59;6.06
Boissy-la-Rivière;91;91079;;2021;;
Boissy-la-Rivière;91;91079;3.91;2022;;
Boissy-la-Rivière;91;91079;3.85;2023;;
Boissy-le-Cutté;91;91080;;2012;;
Boissy-le-Cutté;91;91080;;2013;;
Boissy-le-Cutté;91;91080;;2014;;
Boissy-le-Cutté;91;91080;;2015;;
Boissy-le-Cutté;91;91080;;2016;;
Boissy-le-Cutté;91;91080;;2017;;
Boissy-le-Cutté;91;91080;;2018;;
Boissy-le-Cutté;91;91080;2.72;2019;;
Boissy-le-Cutté;91;91080;2.85;2020;;
Boissy-le-Cutté;91;91080;2.85;2021;;
Boissy-le-Cutté;91;91080;5.33;2022;5.81;11.14
Boissy-le-Cutté;91;91080;5.16;2023;;
Boissy-le-Sec;91;91081;;2012;;
Boissy-le-Sec;91;91081;;2013;;
Boissy-le-Sec;91;91081;;2014;;
Boissy-le-Sec;91;91081;;2015;;
Boissy-le-Sec;91;91081;;2016;;
Boissy-le-Sec;91;91081;;2017;;
Boissy-le-Sec;91;91081;;2018;;
Boissy-le-Sec;91;91081;3.16;2019;;
Boissy-le-Sec;91;91081;3.12;2020;;
Boissy-le-Sec;91;91081;3.21;2021;;
Boissy-le-Sec;91;91081;3.71;2022;;
Boissy-le-Sec;91;91081;3.52;2023;;
Boissy-sous-Saint-Yon;91;91085;;2012;;
Boissy-sous-Saint-Yon;91;91085;;2013;;
