Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Antony;92;92002;2.05;2012;;
Antony;92;92002;2.04;2013;;
Antony;92;92002;2.05;2014;;
Antony;92;92002;2.06;2015;;
Antony;92;92002;1.97;2016;0.74;2.71
Antony;92;92002;1.97;2017;;
Antony;92;92002;1.97;2018;;
Antony;92;92002;1.86;2019;;
Antony;92;92002;2.09;2020;;
Antony;92;92002;3.78;2021;1.46;5.24
Antony;92;92002;3.01;2022;1.01;4.02
Antony;92;92002;3.58;2023;;
Asnières-sur-Seine;92;92004;;2012;;
Asnières-sur-Seine;92;92004;2.34;2013;;
Asnières-sur-Seine;92;92004;;2014;;
Asnières-sur-Seine;92;92004;1.91;2015;;
Asnières-sur-Seine;92;92004;1.91;2016;;
Asnières-sur-Seine;92;92004;2.08;2017;;
Asnières-sur-Seine;92;92004;2.07;2018;;
Asnières-sur-Seine;92;92004;2.12;2019;;
Asnières-sur-Seine;92;92004;2.13;2020;;
Asnières-sur-Seine;92;92004;2.22;2021;;
Asnières-sur-Seine;92;92004;2.32;2022;;
Asnières-sur-Seine;92;92004;2.45;2023;;
Bagneux;92;92007;2.05;2012;;
Bagneux;92;92007;2.04;2013;;
Bagneux;92;92007;2.05;2014;;
Bagneux;92;92007;2.06;2015;;
Bagneux;92;92007;1.97;2016;0.74;2.71
Bagneux;92;92007;1.97;2017;;
Bagneux;92;92007;1.97;2018;;
Bagneux;92;92007;1.86;2019;;
Bagneux;92;92007;2.09;2020;;
Bagneux;92;92007;3.78;2021;1.46;5.24
Bagneux;92;92007;3.01;2022;1.01;4.02
Bagneux;92;92007;3.58;2023;;
Bois-Colombes;92;92009;;2012;;
Bois-Colombes;92;92009;2.34;2013;;
Bois-Colombes;92;92009;;2014;;
Bois-Colombes;92;92009;1.91;2015;;
Bois-Colombes;92;92009;1.91;2016;;
Bois-Colombes;92;92009;2.08;2017;;
Bois-Colombes;92;92009;2.07;2018;;
Bois-Colombes;92;92009;2.12;2019;;
Bois-Colombes;92;92009;2.13;2020;;
Bois-Colombes;92;92009;2.22;2021;;
Bois-Colombes;92;92009;2.32;2022;;
Bois-Colombes;92;92009;2.45;2023;;
Boulogne-Billancourt;92;92012;2.05;2012;;
Boulogne-Billancourt;92;92012;2.04;2013;;
Boulogne-Billancourt;92;92012;2.05;2014;;
Boulogne-Billancourt;92;92012;2.06;2015;;
Boulogne-Billancourt;92;92012;1.97;2016;;
Boulogne-Billancourt;92;92012;1.97;2017;;
Boulogne-Billancourt;92;92012;1.97;2018;;
Boulogne-Billancourt;92;92012;1.86;2019;;
Boulogne-Billancourt;92;92012;2.09;2020;;
Boulogne-Billancourt;92;92012;2.13;2021;;
Boulogne-Billancourt;92;92012;2.25;2022;;
Boulogne-Billancourt;92;92012;2.32;2023;;
Bourg-la-Reine;92;92014;2.05;2012;;
Bourg-la-Reine;92;92014;2.04;2013;;
Bourg-la-Reine;92;92014;2.05;2014;;
Bourg-la-Reine;92;92014;2.06;2015;;
Bourg-la-Reine;92;92014;1.97;2016;0.74;2.71
Bourg-la-Reine;92;92014;1.97;2017;;
Bourg-la-Reine;92;92014;1.97;2018;;
Bourg-la-Reine;92;92014;1.86;2019;;
Bourg-la-Reine;92;92014;2.09;2020;;
Bourg-la-Reine;92;92014;3.78;2021;1.46;5.24
Bourg-la-Reine;92;92014;3.01;2022;1.01;4.02
Bourg-la-Reine;92;92014;3.58;2023;;
Châtenay-Malabry;92;92019;2.05;2012;;
Châtenay-Malabry;92;92019;2.04;2013;;
Châtenay-Malabry;92;92019;2.05;2014;;
