Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Ableiges;95;95002;2.58;2023;;
Aincourt;95;95008;2.58;2023;;
Amenucourt;95;95012;3.74;2023;;
Andilly;95;95014;2.32;2023;;
Argenteuil;95;95018;2.32;2023;;
Arnouville;95;95019;3.06;2023;;
Asnières-sur-Oise;95;95026;2.98;2023;;
Attainville;95;95028;3.09;2023;;
Auvers-sur-Oise;95;95039;2.32;2023;;
Avernes;95;95040;2.58;2023;;
Baillet-en-France;95;95042;3.09;2023;;
Beauchamp;95;95051;2.32;2023;;
Beaumont-sur-Oise;95;95052;2.25;2023;;
Le Bellay-en-Vexin;95;95054;3.53;2023;;
Bellefontaine;95;95055;2.78;2023;;
Belloy-en-France;95;95056;4.24;2023;;
Bernes-sur-Oise;95;95058;2.25;2023;;
Bessancourt;95;95060;2.32;2023;;
Béthemont-la-Forêt;95;95061;2.32;2023;;
Bezons;95;95063;2.32;2023;;
Boisemont;95;95074;2.43;2023;;
Bonneuil-en-France;95;95088;3.06;2023;;
Bouffémont;95;95091;3.09;2023;;
Bouqueval;95;95094;4.24;2023;;
Bray-et-Lû;95;95101;3.74;2023;;
Bréançon;95;95102;3.53;2023;;
Brignancourt;95;95110;6.1;2023;;
Butry-sur-Oise;95;95120;2.32;2023;;
Cergy;95;95127;2.43;2023;;
Champagne-sur-Oise;95;95134;3.28;2023;;
La Chapelle-en-Vexin;95;95139;3.0;2023;;
Chars;95;95142;3.53;2023;;
Châtenay-en-France;95;95144;4.24;2023;;
Chaumontel;95;95149;2.98;2023;;
Chauvry;95;95151;2.32;2023;;
Chennevières-lès-Louvres;95;95154;2.87;2023;;
Commeny (avant 2024);95;95169;2.58;2023;;
Condécourt;95;95170;2.58;2023;;
Cormeilles-en-Parisis;95;95176;2.32;2023;;
Cormeilles-en-Vexin;95;95177;3.53;2023;;
Courdimanche;95;95183;2.43;2023;;
Deuil-la-Barre;95;95197;2.32;2023;;
Domont;95;95199;2.32;2023;;
Eaubonne;95;95203;2.32;2023;;
Écouen;95;95205;2.32;2023;;
Enghien-les-Bains;95;95210;2.32;2023;;
Ennery;95;95211;2.77;2023;;
Épiais-lès-Louvres;95;95212;2.87;2023;;
Épinay-Champlâtreux;95;95214;4.24;2023;;
Éragny;95;95218;2.43;2023;;
Ermont;95;95219;2.32;2023;;
Ézanville;95;95229;4.24;2023;;
Fontenay-en-Parisis;95;95241;4.24;2023;;
Fosses;95;95250;2.78;2023;;
Franconville;95;95252;2.32;2023;;
Frémainville;95;95253;2.58;2023;;
Frémécourt;95;95254;3.53;2023;;
Frépillon;95;95256;2.32;2023;;
La Frette-sur-Seine;95;95257;2.32;2023;;
Frouville;95;95258;2.24;2023;;
Garges-lès-Gonesse;95;95268;3.06;2023;;
Gonesse;95;95277;3.06;2023;;
Goussainville;95;95280;4.24;2023;;
Gouzangrez;95;95282;2.58;2023;;
Groslay;95;95288;2.32;2023;;
Haravilliers;95;95298;3.53;2023;;
Le Heaulme;95;95303;3.53;2023;;
Hédouville;95;95304;2.24;2023;;
Herblay-sur-Seine;95;95306;2.32;2023;;
Hérouville-en-Vexin;95;95308;2.77;2023;;
L' Isle-Adam;95;95313;3.28;2023;;
Jagny-sous-Bois;95;95316;4.24;2023;;
Jouy-le-Moutier;95;95323;2.43;2023;;
Labbeville;95;95328;2.24;2023;;
Lassy;95;95331;2.78;2023;;
Livilliers;95;95341;2.77;2023;;
Longuesse;95;95348;2.58;2023;;
Louvres;95;95351;4.24;2023;;
Luzarches;95;95352;2.98;2023;;
Maffliers;95;95353;3.09;2023;;
Magny-en-Vexin;95;95355;3.0;2023;;
Mareil-en-France;95;95365;4.24;2023;;
Margency;95;95369;2.32;2023;;
Marines;95;95370;3.53;2023;;
Marly-la-Ville;95;95371;2.78;2023;;
Menouville;95;95387;2.24;2023;;
Menucourt;95;95388;2.43;2023;;
Mériel;95;95392;2.32;2023;;
Méry-sur-Oise;95;95394;2.32;2023;;
Le Mesnil-Aubry;95;95395;4.24;2023;;
Moisselles;95;95409;3.09;2023;;
Montigny-lès-Cormeilles;95;95424;2.32;2023;;
Montlignon;95;95426;2.32;2023;;
Montmagny;95;95427;2.32;2023;;
Montmorency;95;95428;2.32;2023;;
Montsoult;95;95430;3.09;2023;;
Mours;95;95436;2.95;2023;;
Moussy;95;95438;3.53;2023;;
Nerville-la-Forêt;95;95445;3.09;2023;;
Neuilly-en-Vexin;95;95447;3.53;2023;;
Neuville-sur-Oise;95;95450;2.43;2023;;
Nointel;95;95452;2.95;2023;;
Noisy-sur-Oise;95;95456;2.98;2023;;
Osny;95;95476;2.43;2023;;
Parmain;95;95480;3.28;2023;;
Le Perchay;95;95483;2.58;2023;;
Persan;95;95487;2.25;2023;;
Pierrelaye;95;95488;2.32;2023;;
Piscop;95;95489;2.32;2023;;
Le Plessis-Bouchard;95;95491;2.32;2023;;
Le Plessis-Gassot;95;95492;4.24;2023;;
Le Plessis-Luzarches;95;95493;2.78;2023;;
Pontoise;95;95500;2.43;2023;;
Presles;95;95504;2.95;2023;;
Puiseux-en-France;95;95509;4.24;2023;;
Puiseux-Pontoise;95;95510;2.43;2023;;
La Roche-Guyon;95;95523;2.26;2023;;
Roissy-en-France;95;95527;4.24;2023;;
Ronquerolles;95;95529;3.45;2023;;
Sagy;95;95535;2.58;2023;;
Saint-Brice-sous-Forêt;95;95539;2.32;2023;;
Saint-Cyr-en-Arthies;95;95543;2.58;2023;;
Saint-Gervais;95;95554;3.0;2023;;
Saint-Gratien;95;95555;2.32;2023;;
Saint-Leu-la-Forêt;95;95563;2.32;2023;;
Saint-Martin-du-Tertre;95;95566;3.09;2023;;
Saint-Ouen-l'Aumône;95;95572;2.43;2023;;
Saint-Prix;95;95574;2.32;2023;;
Sannois;95;95582;2.32;2023;;
Santeuil;95;95584;3.53;2023;;
Sarcelles;95;95585;2.32;2023;;
Seraincourt;95;95592;2.58;2023;;
Seugy;95;95594;2.98;2023;;
Soisy-sous-Montmorency;95;95598;2.32;2023;;
Taverny;95;95607;2.32;2023;;
Théméricourt;95;95610;2.58;2023;;
Le Thillay;95;95612;4.24;2023;;
Us;95;95625;2.58;2023;;
Vallangoujard;95;95627;2.24;2023;;
Valmondois;95;95628;2.32;2023;;
Vaudherland;95;95633;4.24;2023;;
Vauréal;95;95637;2.43;2023;;
Vémars;95;95641;2.87;2023;;
Vétheuil;95;95651;3.9;2023;;
Viarmes;95;95652;2.98;2023;;
Vienne-en-Arthies;95;95656;2.56;2023;;
