Année;Commune;Code INSEE;Département;Numéro département;Volume;Usage;Mode obtention;Longitude;Latitude;Statut;Qualification;Prélèvement écrasant;Ouvrage;Geometrie;url_fiche
2012;Asnières-sur-Oise;95026;Val-d'Oise;95;1369824.0;EAU POTABLE;Mesure directe;2.407359285420248;49.13812270490139;Contrôlé Niveau 1;Correcte;False;ASNIERES SUR OISE;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.407359285420248, 49.13812270490139]};https://id.eaufrance.fr/OuvragePrel/OPR0000199502
2012;Asnières-sur-Oise;95026;Val-d'Oise;95;1283672.0;EAU POTABLE;Mesure directe;2.407359285420248;49.13812270490139;Contrôlé Niveau 1;Correcte;False;Asnières 2 F2;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.407359285420248, 49.13812270490139]};https://id.eaufrance.fr/OuvragePrel/OPR0000199503
2012;Mours;95436;Val-d'Oise;95;161458.0;EAU POTABLE;Mesure directe;2.264679413334287;49.13153152420951;Contrôlé Niveau 1;Correcte;False;MOURS;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.264679413334287, 49.13153152420951]};https://id.eaufrance.fr/OuvragePrel/OPR0000199504
2012;Thillay;95612;Val-d'Oise;95;11740.0;IRRIGATION;Mesure directe;2.480809651192571;49.0079527229497;Contrôlé Niveau 1;Correcte;False;SCEA PEPINIERES CHATELAIN;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.480809651192571, 49.0079527229497]};https://id.eaufrance.fr/OuvragePrel/OPR0000200110
2013;Chennevières-lès-Louvres;95154;Val-d'Oise;95;110292.0;EAU POTABLE;Mesure directe;2.546016790800952;49.04121891712016;Contrôlé Niveau 1;Correcte;False;CHENNEVIERES-LES-LOUVRES;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.546016790800952, 49.04121891712016]};https://id.eaufrance.fr/OuvragePrel/OPR0000032753
2013;Beaumont-sur-Oise;95052;Val-d'Oise;95;285077.0;EAU POTABLE;Mesure directe;2.2845733913198742;49.13724848746941;Contrôlé Niveau 1;Correcte;False;BEAUMONT SUR OISE;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.2845733913198742, 49.137248487469414]};https://id.eaufrance.fr/OuvragePrel/OPR0000032767
2013;Persan;95487;Val-d'Oise;95;285077.0;EAU POTABLE;Mesure directe;2.2692041090006176;49.14788653574013;Contrôlé Niveau 1;Correcte;False;PERSAN;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.2692041090006176, 49.14788653574013]};https://id.eaufrance.fr/OuvragePrel/OPR0000032768
2013;Persan;95487;Val-d'Oise;95;293716.0;EAU POTABLE;Mesure directe;2.2692041090006176;49.14788653574013;Contrôlé Niveau 1;Correcte;False;PERSAN;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.2692041090006176, 49.14788653574013]};https://id.eaufrance.fr/OuvragePrel/OPR0000032769
2013;Bruyères-sur-Oise;95116;Val-d'Oise;95;506220.0;EAU POTABLE;Mesure directe;2.3279455483323823;49.16403092019435;Contrôlé Niveau 1;Correcte;False;BRUYERES SUR OISE;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.3279455483323823, 49.16403092019435]};https://id.eaufrance.fr/OuvragePrel/OPR0000032770
2013;Isle-Adam;95313;Val-d'Oise;95;1454181.0;EAU POTABLE;Mesure directe;2.232808996861035;49.10785560782085;Contrôlé Niveau 1;Correcte;False;L ISLE ADAM;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.232808996861035, 49.10785560782085]};https://id.eaufrance.fr/OuvragePrel/OPR0000032789
