Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Achères-la-Forêt;77;77001;;2012;;
Achères-la-Forêt;77;77001;;2013;;
Achères-la-Forêt;77;77001;;2014;;
Achères-la-Forêt;77;77001;;2015;;
Achères-la-Forêt;77;77001;;2016;;
Achères-la-Forêt;77;77001;2.51;2017;5.15;7.66
Achères-la-Forêt;77;77001;2.77;2018;5.75;8.52
Achères-la-Forêt;77;77001;3.23;2019;5.26;8.49
Achères-la-Forêt;77;77001;2.81;2020;5.24;8.05
Achères-la-Forêt;77;77001;2.64;2021;3.54;6.18
Achères-la-Forêt;77;77001;3.06;2022;3.58;6.64
Achères-la-Forêt;77;77001;2.84;2023;;
Amillis;77;77002;;2012;;
Amillis;77;77002;;2013;;
Amillis;77;77002;;2014;;
Amillis;77;77002;;2015;;
Amillis;77;77002;;2016;;
Amillis;77;77002;;2017;;
Amillis;77;77002;;2018;;
Amillis;77;77002;4.87;2019;;
Amillis;77;77002;5.17;2020;;
Amillis;77;77002;5.15;2021;;
Amillis;77;77002;5.21;2022;;
Amillis;77;77002;5.49;2023;;
Andrezel;77;77004;;2012;;
Andrezel;77;77004;;2013;;
Andrezel;77;77004;;2014;;
Andrezel;77;77004;;2015;;
Andrezel;77;77004;;2016;;
Andrezel;77;77004;;2017;;
Andrezel;77;77004;;2018;;
Andrezel;77;77004;2.71;2019;;
Andrezel;77;77004;2.74;2020;;
Andrezel;77;77004;2.81;2021;;
Andrezel;77;77004;2.82;2022;;
Andrezel;77;77004;2.83;2023;;
Annet-sur-Marne;77;77005;;2012;;
Annet-sur-Marne;77;77005;;2013;;
Annet-sur-Marne;77;77005;;2014;;
Annet-sur-Marne;77;77005;2.33;2015;;
Annet-sur-Marne;77;77005;2.3;2016;;
Annet-sur-Marne;77;77005;2.34;2017;;
Annet-sur-Marne;77;77005;2.41;2018;;
Annet-sur-Marne;77;77005;2.48;2019;;
Annet-sur-Marne;77;77005;2.51;2020;;
Annet-sur-Marne;77;77005;2.64;2021;;
Annet-sur-Marne;77;77005;2.8;2022;;
Annet-sur-Marne;77;77005;3.06;2023;;
Arbonne-la-Forêt;77;77006;;2012;;
Arbonne-la-Forêt;77;77006;;2013;;
Arbonne-la-Forêt;77;77006;;2014;;
Arbonne-la-Forêt;77;77006;;2015;;
Arbonne-la-Forêt;77;77006;;2016;;
Arbonne-la-Forêt;77;77006;2.51;2017;5.15;7.66
Arbonne-la-Forêt;77;77006;2.77;2018;5.75;8.52
Arbonne-la-Forêt;77;77006;3.23;2019;5.26;8.49
Arbonne-la-Forêt;77;77006;2.81;2020;5.24;8.05
Arbonne-la-Forêt;77;77006;2.64;2021;3.54;6.18
Arbonne-la-Forêt;77;77006;3.06;2022;3.58;6.64
Arbonne-la-Forêt;77;77006;2.84;2023;;
Argentières;77;77007;;2012;;
Argentières;77;77007;;2013;;
Argentières;77;77007;;2014;;
Argentières;77;77007;;2015;;
Argentières;77;77007;;2016;;
Argentières;77;77007;4.41;2017;3.7;8.11
Argentières;77;77007;4.25;2018;5.15;9.4
Argentières;77;77007;4.32;2019;5.15;9.47
Argentières;77;77007;4.36;2020;5.15;9.51
Argentières;77;77007;4.9;2021;4.57;9.47
Argentières;77;77007;5.13;2022;4.14;9.27
Argentières;77;77007;5.56;2023;;
Armentières-en-Brie;77;77008;1.92;2012;2.3;4.22
Armentières-en-Brie;77;77008;1.98;2013;2.74;4.72
Armentières-en-Brie;77;77008;2.01;2014;2.81;4.82
Armentières-en-Brie;77;77008;;2015;;
Armentières-en-Brie;77;77008;;2016;2.95;
Armentières-en-Brie;77;77008;2.24;2017;2.9;5.14
Armentières-en-Brie;77;77008;2.27;2018;2.87;5.14
Armentières-en-Brie;77;77008;2.44;2019;2.89;5.33
Armentières-en-Brie;77;77008;2.46;2020;2.92;5.38
Armentières-en-Brie;77;77008;2.48;2021;2.96;5.44
Armentières-en-Brie;77;77008;2.6;2022;3.1;5.7
Armentières-en-Brie;77;77008;2.6;2023;2.3;4.9
Aufferville;77;77011;;2012;2.63;
Aufferville;77;77011;3.32;2013;2.73;6.05
Aufferville;77;77011;3.48;2014;2.75;6.23
Aufferville;77;77011;3.42;2015;2.75;6.17
Aufferville;77;77011;3.54;2016;2.6;6.14
Aufferville;77;77011;3.6;2017;2.55;6.15
Aufferville;77;77011;3.55;2018;2.49;6.04
Aufferville;77;77011;3.6;2019;2.58;6.18
Aufferville;77;77011;3.63;2020;2.6;6.23
Aufferville;77;77011;3.68;2021;2.68;6.36
Aufferville;77;77011;3.82;2022;2.77;6.59
Aufferville;77;77011;3.93;2023;2.63;6.56
Augers-en-Brie;77;77012;;2012;;
Augers-en-Brie;77;77012;;2013;;
Augers-en-Brie;77;77012;;2014;;
Augers-en-Brie;77;77012;;2015;;
Augers-en-Brie;77;77012;;2016;;
Augers-en-Brie;77;77012;;2017;;
Augers-en-Brie;77;77012;;2018;;
Augers-en-Brie;77;77012;4.87;2019;;
Augers-en-Brie;77;77012;5.17;2020;;
Augers-en-Brie;77;77012;5.15;2021;;
Augers-en-Brie;77;77012;5.21;2022;;
Augers-en-Brie;77;77012;5.49;2023;;
Aulnoy;77;77013;;2012;;
Aulnoy;77;77013;;2013;;
Aulnoy;77;77013;;2014;;
Aulnoy;77;77013;;2015;;
Aulnoy;77;77013;;2016;;
Aulnoy;77;77013;;2017;;
Aulnoy;77;77013;;2018;;
Aulnoy;77;77013;4.87;2019;;
Aulnoy;77;77013;5.17;2020;;
Aulnoy;77;77013;5.15;2021;;
Aulnoy;77;77013;5.21;2022;;
Aulnoy;77;77013;5.49;2023;;
Avon;77;77014;;2012;;
Avon;77;77014;;2013;;
Avon;77;77014;;2014;;
Avon;77;77014;;2015;;
Avon;77;77014;;2016;;
Avon;77;77014;2.51;2017;5.15;7.66
Avon;77;77014;2.77;2018;5.75;8.52
Avon;77;77014;3.23;2019;5.26;8.49
Avon;77;77014;2.81;2020;5.24;8.05
Avon;77;77014;2.64;2021;3.54;6.18
Avon;77;77014;3.06;2022;3.58;6.64
Avon;77;77014;2.84;2023;;
Baby;77;77015;;2012;;
Baby;77;77015;;2013;;
Baby;77;77015;;2014;;
Baby;77;77015;;2015;;
Baby;77;77015;;2016;;
Baby;77;77015;;2017;;
Baby;77;77015;;2018;;
Baby;77;77015;4.87;2019;;
