Année;Commune;Code INSEE;Département;Numéro département;Volume;Usage;Mode obtention;Longitude;Latitude;Statut;Qualification;Prélèvement écrasant;Ouvrage;Geometrie;url_fiche
2012;Rueil-Malmaison;92063;Hauts-de-Seine;92;24564.0;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);Mesure directe;2.174953748061665;48.87693863869714;Contrôlé Niveau 1;Correcte;False;Forage Institut Français du Pé trole;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.174953748061665, 48.87693863869714]};https://id.eaufrance.fr/OuvragePrel/OPR0000200097
2012;Courbevoie;92026;Hauts-de-Seine;92;13159380.0;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);Mesure directe;2.2566143124630216;48.88925493416876;Contrôlé Niveau 1;Correcte;False;Prélèvement en Seine SUC;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.2566143124630216, 48.88925493416876]};https://id.eaufrance.fr/OuvragePrel/OPR0000333925
2013;Suresnes;92073;Hauts-de-Seine;92;18164980.0;EAU POTABLE;Mesure directe;2.221885115643703;48.87118042879041;Contrôlé Niveau 1;Correcte;False;la Seine à SURESNES;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.221885115643703, 48.87118042879041]};https://id.eaufrance.fr/OuvragePrel/OPR0000032886
2013;Villeneuve-la-Garenne;92078;Hauts-de-Seine;92;879125.0;EAU POTABLE;Mesure directe;2.328445957479119;48.93548380118172;Contrôlé Niveau 1;Correcte;False;L.E. V.L.G.Forage 1 (1bis) e la Garenne - Forage 1 (1bis);{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.328445957479119, 48.93548380118172]};https://id.eaufrance.fr/OuvragePrel/OPR0000033875
2013;Villeneuve-la-Garenne;92078;Hauts-de-Seine;92;376255.0;EAU POTABLE;Mesure directe;2.328445957479119;48.93548380118172;Contrôlé Niveau 1;Correcte;False;Lyonnaise des Eaux - Villeneuv e la Garenne - Forage 2;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.328445957479119, 48.93548380118172]};https://id.eaufrance.fr/OuvragePrel/OPR0000033904
2013;Villeneuve-la-Garenne;92078;Hauts-de-Seine;92;400985.0;EAU POTABLE;Mesure directe;2.328445957479119;48.93548380118172;Contrôlé Niveau 1;Correcte;False;VILLENEUVE-LA-GARENNE;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.328445957479119, 48.93548380118172]};https://id.eaufrance.fr/OuvragePrel/OPR0000033905
2013;Villeneuve-la-Garenne;92078;Hauts-de-Seine;92;444876.0;EAU POTABLE;Mesure directe;2.328445957479119;48.93548380118172;Contrôlé Niveau 1;Correcte;False;VILLENEUVE-LA-GARENNE;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.328445957479119, 48.93548380118172]};https://id.eaufrance.fr/OuvragePrel/OPR0000033906
2013;Villeneuve-la-Garenne;92078;Hauts-de-Seine;92;609389.0;EAU POTABLE;Mesure directe;2.328445957479119;48.93548380118172;Contrôlé Niveau 1;Correcte;False;VILLENEUVE-LA-GARENNE;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.328445957479119, 48.93548380118172]};https://id.eaufrance.fr/OuvragePrel/OPR0000033908
2013;Villeneuve-la-Garenne;92078;Hauts-de-Seine;92;6414.0;EAU POTABLE;Mesure directe;2.328445957479119;48.93548380118172;Contrôlé Niveau 1;Correcte;False;VILLENEUVE-LA-GARENNE;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.328445957479119, 48.93548380118172]};https://id.eaufrance.fr/OuvragePrel/OPR0000033909
2013;Villeneuve-la-Garenne;92078;Hauts-de-Seine;92;164.0;EAU POTABLE;Mesure directe;2.328445957479119;48.93548380118172;Contrôlé Niveau 1;Correcte;False;COMBLE 2019 - Villeneuve la Garenne - Forage 10;{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [2.328445957479119, 48.93548380118172]};https://id.eaufrance.fr/OuvragePrel/OPR0000033910
