Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Aulnay-sur-Mauldre;78;78033;3.03;2016;3.03;6.06
Aulnay-sur-Mauldre;78;78033;2.99;2017;3.31;6.3
Aulnay-sur-Mauldre;78;78033;3.14;2018;3.24;6.38
Aulnay-sur-Mauldre;78;78033;3.24;2019;;
Aulnay-sur-Mauldre;78;78033;3.3;2020;2.9;6.2
Aulnay-sur-Mauldre;78;78033;3.66;2021;3.02;6.68
Aulnay-sur-Mauldre;78;78033;3.62;2022;3.17;6.79
Aulnay-sur-Mauldre;78;78033;3.64;2023;;
Auteuil;78;78034;;2012;;
Auteuil;78;78034;2.02;2013;;
Auteuil;78;78034;2.06;2014;;
Auteuil;78;78034;2.07;2015;;
Auteuil;78;78034;2.06;2016;;
Auteuil;78;78034;2.07;2017;;
Auteuil;78;78034;2.1;2018;;
Auteuil;78;78034;2.1;2019;;
Auteuil;78;78034;2.13;2020;;
Auteuil;78;78034;2.18;2021;;
Auteuil;78;78034;2.88;2022;;
Auteuil;78;78034;2.99;2023;;
Autouillet;78;78036;;2012;;
Autouillet;78;78036;2.02;2013;;
Autouillet;78;78036;2.06;2014;;
Autouillet;78;78036;2.07;2015;;
Autouillet;78;78036;2.06;2016;;
Autouillet;78;78036;2.07;2017;;
Autouillet;78;78036;2.1;2018;;
Autouillet;78;78036;2.1;2019;;
Autouillet;78;78036;2.13;2020;;
Autouillet;78;78036;2.18;2021;;
Autouillet;78;78036;2.88;2022;;
Autouillet;78;78036;2.99;2023;;
Bailly;78;78043;4.22;2012;;
Bailly;78;78043;3.12;2013;;
Bailly;78;78043;3.61;2014;;
Bailly;78;78043;2.72;2015;;
Bailly;78;78043;2.84;2016;;
Bailly;78;78043;2.52;2017;;
Bailly;78;78043;5.6;2018;;
Bailly;78;78043;5.3;2019;;
Bailly;78;78043;5.2;2020;;
Bailly;78;78043;2.45;2021;;
Bailly;78;78043;2.66;2022;;
Bailly;78;78043;2.69;2023;;
