Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Aubervilliers;93;93001;2.05;2012;;
Aubervilliers;93;93001;2.04;2013;;
Aubervilliers;93;93001;2.05;2014;;
Aubervilliers;93;93001;2.06;2015;;
Aubervilliers;93;93001;1.97;2016;;
Aubervilliers;93;93001;1.97;2017;;
Aubervilliers;93;93001;1.97;2018;;
Aubervilliers;93;93001;1.86;2019;;
Aubervilliers;93;93001;2.09;2020;;
Aubervilliers;93;93001;2.13;2021;;
Aubervilliers;93;93001;2.25;2022;;
Aubervilliers;93;93001;2.32;2023;;
Aulnay-sous-Bois;93;93005;2.05;2012;;
Aulnay-sous-Bois;93;93005;2.04;2013;;
Aulnay-sous-Bois;93;93005;2.05;2014;;
Aulnay-sous-Bois;93;93005;2.06;2015;;
Aulnay-sous-Bois;93;93005;1.97;2016;;
Aulnay-sous-Bois;93;93005;1.97;2017;;
Aulnay-sous-Bois;93;93005;1.97;2018;;
Aulnay-sous-Bois;93;93005;1.86;2019;;
Aulnay-sous-Bois;93;93005;2.09;2020;;
Aulnay-sous-Bois;93;93005;2.13;2021;;
Aulnay-sous-Bois;93;93005;2.25;2022;;
Aulnay-sous-Bois;93;93005;2.32;2023;;
Bagnolet;93;93006;;2012;2.6;
Bagnolet;93;93006;;2013;2.21;
Bagnolet;93;93006;;2014;2.21;
Bagnolet;93;93006;;2015;2.21;
Bagnolet;93;93006;;2016;2.28;
Bagnolet;93;93006;;2017;1.3;
Bagnolet;93;93006;;2018;0.72;
Bagnolet;93;93006;;2019;0.66;
Bagnolet;93;93006;;2020;2.82;
Bagnolet;93;93006;1.41;2021;3.04;4.45
Bagnolet;93;93006;1.38;2022;3.15;4.53
Bagnolet;93;93006;1.38;2023;2.6;3.98
Le Blanc-Mesnil;93;93007;;2012;;
Le Blanc-Mesnil;93;93007;;2013;;
Le Blanc-Mesnil;93;93007;;2014;;
Le Blanc-Mesnil;93;93007;;2015;;
Le Blanc-Mesnil;93;93007;;2016;;
Le Blanc-Mesnil;93;93007;;2017;;
Le Blanc-Mesnil;93;93007;;2018;4.69;
Le Blanc-Mesnil;93;93007;;2019;6.5;
Le Blanc-Mesnil;93;93007;1.79;2020;3.0;4.79
Le Blanc-Mesnil;93;93007;1.8;2021;3.24;5.04
Le Blanc-Mesnil;93;93007;1.85;2022;3.12;4.97
Le Blanc-Mesnil;93;93007;1.92;2023;;
Bobigny;93;93008;;2012;2.6;
Bobigny;93;93008;;2013;2.21;
Bobigny;93;93008;;2014;2.21;
Bobigny;93;93008;;2015;2.21;
Bobigny;93;93008;;2016;2.28;
Bobigny;93;93008;;2017;1.3;
Bobigny;93;93008;;2018;0.72;
Bobigny;93;93008;;2019;0.66;
Bobigny;93;93008;;2020;2.82;
Bobigny;93;93008;1.41;2021;3.04;4.45
Bobigny;93;93008;1.38;2022;3.15;4.53
Bobigny;93;93008;1.38;2023;2.6;3.98
Bondy;93;93010;;2012;2.6;
