Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Aubervilliers;93;93001;2.32;2023;;
Aulnay-sous-Bois;93;93005;2.32;2023;;
Bagnolet;93;93006;1.38;2023;2.6;3.98
Le Blanc-Mesnil;93;93007;1.92;2023;;
Bobigny;93;93008;1.38;2023;2.6;3.98
Bondy;93;93010;1.38;2023;2.6;3.98
Le Bourget;93;93013;2.32;2023;;
Clichy-sous-Bois;93;93014;2.32;2023;;
Coubron;93;93015;2.32;2023;;
La Courneuve;93;93027;2.32;2023;;
Drancy;93;93029;2.32;2023;;
Dugny;93;93030;2.32;2023;;
Épinay-sur-Seine;93;93031;2.32;2023;;
Gagny;93;93032;2.32;2023;;
Gournay-sur-Marne;93;93033;2.32;2023;;
L' Île-Saint-Denis;93;93039;2.32;2023;;
Les Lilas;93;93045;1.38;2023;2.6;3.98
Livry-Gargan;93;93046;2.32;2023;;
Montfermeil;93;93047;2.32;2023;;
Montreuil;93;93048;1.38;2023;2.6;3.98
Neuilly-Plaisance;93;93049;2.32;2023;;
Neuilly-sur-Marne;93;93050;2.32;2023;;
Noisy-le-Grand;93;93051;2.32;2023;;
Noisy-le-Sec;93;93053;1.38;2023;2.6;3.98
Pantin;93;93055;1.38;2023;2.6;3.98
Les Pavillons-sous-Bois;93;93057;2.32;2023;;
Pierrefitte-sur-Seine;93;93059;2.32;2023;;
Le Pré-Saint-Gervais;93;93061;1.38;2023;2.6;3.98
Le Raincy;93;93062;2.32;2023;;
Romainville;93;93063;1.38;2023;2.6;3.98
Rosny-sous-Bois;93;93064;2.32;2023;;
Saint-Denis;93;93066;2.32;2023;;
Saint-Ouen-sur-Seine;93;93070;2.32;2023;;
Sevran;93;93071;2.32;2023;;
Stains;93;93072;2.32;2023;;
Tremblay-en-France;93;93073;3.06;2023;;
Vaujours;93;93074;2.32;2023;;
Villemomble;93;93077;2.32;2023;;
Villepinte;93;93078;3.06;2023;;
Villetaneuse;93;93079;2.32;2023;;
