DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=182143;Saint-Sorlin-en-Bugey;Commune;ServiceId=182641;assainissement collectif;Délégation;578;Vérifié;1112;Sans anomalie apparente;0;1,25;Sans anomalie apparente;1;507;4,44;14,82;31,6;;103,15;;51,21;23;1112;10;2,19;0,15;;0;;0,6679;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,0865;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181899;Blyes;Commune;ServiceId=182300;assainissement collectif;Régie;1007;Confirmé / publié;1269;Sans anomalie apparente;0;1,41;Sans anomalie apparente;1;530;;;33,36;0;135,6;0;88,33;0;1269;10;2,39;0,15;61891,23;0;;1,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181913;Briord;Commune;ServiceId=182325;assainissement collectif;Régie;1016;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181880;Bâgé-le-Châtel;Commune;ServiceId=182273;assainissement collectif;Régie;923;En cours de saisie;;Non vérifié;0;3,27;Non vérifié;1;420;;;128,84;;264,06;0,626;91,7;87,88;;10;;0,15;42513,53;0;80;1,2;80;5000;2,0045;5000;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182122;Saint-Germain-sur-Renon;Commune;ServiceId=182611;assainissement collectif;Régie;236;En cours de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;0,48;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=220100;Haut Valromey;Commune;ServiceId=182447;assainissement collectif (HOTONNES);Régie;223;Confirmé / publié;240;Sans anomalie apparente;0;2,88;Sans anomalie apparente;1;132;;;49,42;;296,2;;28,82;112;240;10;1,82;0,15;38242,06;0;;1,535;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181935;Châtillon-sur-Chalaronne;Commune;ServiceId=182362;assainissement collectif;Délégation;4859;Vérifié;4600;Sans anomalie apparente;0;1,53;Présomption d'anomalie;0;2495;24,92;102,92;;;46,09;;63,32;0;4600;;1,84;;;0;;0,3841;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,65;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212296;Haut Bugey Agglomération (HBA);Communauté d'agglomération;ServiceId=259714;assainissement collectif : ST MARTIN DU FRENE DSP;Délégation;;Confirmé / publié;1085;Sans anomalie apparente;0;2,26;Sans anomalie apparente;1;434;10,53;25,06;42,67;;203,6;;39,71;20;1085;10;2,5;0,15;11213;0;;1,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,1211;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182127;Sainte-Julie;Commune;ServiceId=182619;assainissement collectif;Régie;1017;Confirmé / publié;1000;Sans anomalie apparente;0;1,15;Sans anomalie apparente;1;401;;;18;0;120;0;33,47;0;1000;0;2,49;0,15;49520;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181877;Artemare;Commune;ServiceId=182270;assainissement collectif;Régie;1237;Confirmé / publié;1262;Sans anomalie apparente;0;1,65;Sans anomalie apparente;1;662;;;36,04;;162,4;;60,13;28;1262;10;1,91;0,15;101427,71;0;99;1,12;99;;1,12;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
