DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=182046;Mézériat;Commune;ServiceId=182515;assainissement collectif;Régie;2175;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181910;Brens;Commune;ServiceId=182319;assainissement collectif;Délégation;1214;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182078;Plagne;Commune;ServiceId=182560;assainissement collectif;Régie;126;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182167;Talissieu;Commune;ServiceId=182676;assainissement collectif;Régie;450;Confirmé / publié;439;Sans anomalie apparente;0;1,39;Sans anomalie apparente;1;242;;;18;0;149;0;29,51;35;439;0;1,81;0,15;26255,01;0;1999;0,95;1999;;0,725;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182095;Replonges;Commune;ServiceId=182580;assainissement collectif;Délégation;3732;Confirmé / publié;3570;Sans anomalie apparente;0;2,2;Sans anomalie apparente;1;1655;38,02;89,76;41,98;0;132,06;0;51,32;10;3570;10;2,16;0,15;173352;0;;1,0172;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,4312;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182097;Rignieux-le-Franc;Commune;ServiceId=182582;assainissement collectif;Régie;986;Confirmé / publié;967;Sans anomalie apparente;0;1,36;Sans anomalie apparente;1;476;;;32,8;;130;;58,77;40;967;10;2,03;0,15;40190;0;;0,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182123;Saint-Jean-de-Niost;Commune;ServiceId=182613;assainissement collectif;Délégation;1463;En cours de saisie;1216;Non vérifié;0;2,58;Non vérifié;0;607;;;;;;;58,42;;1216;;2;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182035;Marchamp;Commune;ServiceId=182499;assainissement collectif;Régie;133;Confirmé / publié;131;Sans anomalie apparente;0;1,25;Sans anomalie apparente;1;94;;;31,65;;118,54;;11,06;40,76;131;10;1,39;0,15;8745,25;0;50;0,759;50;;0,569;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182170;Thil;Commune;ServiceId=182680;assainissement collectif;Régie;1070;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181902;Bouligneux;Commune;ServiceId=182305;assainissement collectif;Délégation;303;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182022;Leyment;Commune;ServiceId=182477;assainissement collectif;Délégation;1264;En cours de saisie;1236;Non vérifié;0;1,1;Non vérifié;1;542;10,56;26,04;30;;76;;54,09;16;1236;10;2,28;0,15;;0;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,129;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181891;Bénonces;Commune;ServiceId=182289;assainissement collectif;Régie;286;Confirmé / publié;295;Sans anomalie apparente;0;1,68;Sans anomalie apparente;1;163;;;18;0;183,24;0;40,75;92,04;295;0;1,81;0,15;24541,94;0;;0,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182176;Vaux-en-Bugey;Commune;ServiceId=182689;assainissement collectif;Régie;1248;Confirmé / publié;1259;Sans anomalie apparente;0;1,48;Sans anomalie apparente;1;700;;;27,24;;150;;100,29;0;1259;5,5;1,8;0,15;;0;;1,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=246987;Bâgé-Dommartin;Commune;ServiceId=182272;assainissement collectif : (Bâgé-la-Ville) (Bâgé-Dommartin (avant 2018));Régie;0;Confirmé / publié;2149;Sans anomalie apparente;0;1,97;Sans anomalie apparente;1;903;;;39,48;0;196,8;0;62,53;0;2149;10;2,38;0,15;;0;;1,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182163;Souclin;Commune;ServiceId=182669;assainissement collectif;Régie;271;Confirmé / publié;273;Sans anomalie apparente;0;1,14;Sans anomalie apparente;1;160;;;18;0;119,35;0;48,05;35,35;273;0;1,71;0,15;7966;0;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182189;Villette-sur-Ain;Commune;ServiceId=182706;assainissement collectif;Délégation;715;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181893;Béon;Commune;ServiceId=182292;assainissement collectif (Béon);Régie;481;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182168;Tenay;Commune;ServiceId=182677;assainissement collectif;Régie;1064;Confirmé / publié;941;Sans anomalie apparente;0;1,3;Sans anomalie apparente;1;459;;;18;;138;;48,99;36;941;0;2,05;0,15;38080,2;0;;0,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182190;Villieu-Loyes-Mollon;Commune;ServiceId=182708;assainissement collectif;Délégation;3496;En cours de saisie;3885;Non vérifié;0;2,28;Sans anomalie apparente;1;1813;16,7;66,74;42,89;;164,18;;66,53;21,38;3885;10;2,14;0,15;;0;;1,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,417;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182019;Lavours;Commune;ServiceId=182473;assainissement collectif;Régie;143;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
