DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D201.0;Verif_D201.0;CalculAuto_D201.0;D204.0;Verif_D204.0;CalculAuto_D204.0;VP.056;VP.190;VP.177;VP.179;VP.218;VP.178;VP.219;VP.228;VP.191;VP.175;VP.213;VP.229;VP.217;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
078;CollectivityId=224934;CU Grand Paris Seine et Oise (CU GPS&O);Communauté urbaine;ServiceId=291654;assainissement collectif : Gargenville-Issou;Délégation;11567;Confirmé / publié;11790;Sans anomalie apparente;0;1,82;Sans anomalie apparente;1;4248;0;14,4;42,06;;162;;90,21;0;11790;10;2,78;0,185;549000;0;;1,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=224934;CU Grand Paris Seine et Oise (CU GPS&O);Communauté urbaine;ServiceId=291634;assainissement collectif : Flacourt-Favrieux-Le Tertre Saint Denis;Délégation;433;Confirmé / publié;450;Sans anomalie apparente;0;2,65;Sans anomalie apparente;1;190;0;16,32;51,13;;250,8;;29,55;0;450;10;2,37;0,185;15998,57;0;;2,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,136;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=224934;CU Grand Paris Seine et Oise (CU GPS&O);Communauté urbaine;ServiceId=158602;assainissement collectif : Carrières-sous-Poissy;Délégation;4053;Confirmé / publié;16757;Sans anomalie apparente;0;2,11;Sans anomalie apparente;1;2510;0;43,92;45,2;;163,87;;121,08;0;16757;10;6,68;0,185;614320;0;;1,3656;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,366;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=224934;CU Grand Paris Seine et Oise (CU GPS&O);Communauté urbaine;ServiceId=291574;assainissement collectif : Conflans-Saint-Honorine;Délégation;17923;Confirmé / publié;35536;Sans anomalie apparente;0;2,3;Sans anomalie apparente;1;10167;0;12,43;47,26;0;216;0;131,75;0;35536;10;3,5;0,185;3192346;0;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,1036;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=224934;CU Grand Paris Seine et Oise (CU GPS&O);Communauté urbaine;ServiceId=291554;assainissement collectif : Boinville-Goussonville-Jumeauville;Délégation;1523;Confirmé / publié;1529;Sans anomalie apparente;0;1,95;Sans anomalie apparente;1;639;0;14,4;43,5;;176,4;;41,63;0;1529;10;2,39;0,185;109870;0;;1,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=224934;CU Grand Paris Seine et Oise (CU GPS&O);Communauté urbaine;ServiceId=291534;assainissement collectif : Arnouville-Hargeville;Délégation;1384;Confirmé / publié;1379;Sans anomalie apparente;0;2,29;Sans anomalie apparente;1;553;0;14,4;47,22;;213,6;;49,16;0;1379;10;2,49;0,185;72379;0;;1,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=158404;Syndicat Intercommunal d'Assainissement de Houdan - Maulette (SIAHM);Syndicat Intercommunal à Vocation Unique;ServiceId=158721;assainissement collectif;Délégation;4612;En cours de saisie;4097;Non vérifié;0;2,25;Non vérifié;1;2267;10,63;187,35;46,73;0;35,78;0;72,2;0;4097;10;1,81;0,185;585200;0;20;0;20;;0,3578;;;;;;;;;;;;;;;;;;;;;;;;;0;20;0;20;;1,7672;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=158406;Syndicat Intercommunal pour l'Assainissement de la Région de Saint-Germain-en-Laye (SIARSGL);Syndicat Intercommunal à Vocation Unique;ServiceId=158723;assainissement collectif;Délégation;23839;Confirmé / publié;106728;Sans anomalie apparente;0;1,6;Sans anomalie apparente;0;12075;339181;339190,12;;;758717,8;;430,33;758695;106728;;8,84;;;0;120;0,19;120;;0,19;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,076;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=219534;CC Les Portes de l'Ile de France (CCPIF);Communauté de communes;ServiceId=310814;assainissement collectif : DSP VEOLIA : La Villeneuve en Chevrie;Délégation;640;Confirmé / publié;529;Sans anomalie apparente;0;2,11;Sans anomalie apparente;1;221;0;159,82;45,26;0;48,6;0;40,48;0;529;10;2,39;0,185;44674;0;;0,405;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,3318;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;CollectivityId=215537;Bazainville;Commune;ServiceId=215538;assainissement collectif;Délégation;1454;Confirmé / publié;1263;Sans anomalie apparente;0;2,08;Sans anomalie apparente;1;514;0;145,09;44,93;;60;;30,08;0;1263;10;2,46;0,185;;0;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,2091;;;;;;;;;;;;;;;;;;;;;;;;;;;
