Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Abbéville-la-Rivière;91;91001;3.85;2023;;
Angerville;91;91016;3.85;2023;;
Angervilliers;91;91017;3.52;2023;;
Arpajon;91;91021;2.19;2023;;
Arrancourt;91;91022;3.85;2023;;
Athis-Mons;91;91027;3.22;2023;;
Authon-la-Plaine;91;91035;2.19;2023;;
Auvernaux;91;91037;3.31;2023;;
Auvers-Saint-Georges;91;91038;3.31;2023;;
Avrainville;91;91041;2.19;2023;;
Ballainvilliers;91;91044;3.32;2023;;
Ballancourt-sur-Essonne;91;91045;3.31;2023;;
Baulne;91;91047;3.31;2023;;
Bièvres;91;91064;2.32;2023;;
Blandy;91;91067;5.56;2023;;
Boigneville;91;91069;2.89;2023;;
Bois-Herpin;91;91075;3.85;2023;;
Boissy-la-Rivière;91;91079;3.85;2023;;
Boissy-le-Cutté;91;91080;5.16;2023;;
Boissy-le-Sec;91;91081;3.52;2023;;
Boissy-sous-Saint-Yon;91;91085;3.31;2023;;
Bondoufle;91;91086;3.06;2023;;
Bouray-sur-Juine;91;91095;3.31;2023;;
Boussy-Saint-Antoine;91;91097;3.05;2023;;
Boutervilliers;91;91098;2.19;2023;;
Boutigny-sur-Essonne;91;91099;3.31;2023;;
Bouville;91;91100;3.85;2023;;
Brétigny-sur-Orge;91;91103;2.19;2023;;
Breuillet;91;91105;2.19;2023;;
Breux-Jouy;91;91106;3.31;2023;;
Brières-les-Scellés;91;91109;3.85;2023;;
Briis-sous-Forges;91;91111;3.52;2023;;
Brouy;91;91112;3.85;2023;;
Brunoy;91;91114;3.05;2023;;
Bruyères-le-Châtel;91;91115;3.52;2023;;
Buno-Bonnevaux;91;91121;3.31;2023;;
Bures-sur-Yvette;91;91122;3.32;2023;;
Cerny;91;91129;3.31;2023;;
Chalo-Saint-Mars;91;91130;3.85;2023;;
Chalou-Moulineux;91;91131;3.85;2023;;
Chamarande;91;91132;3.31;2023;;
Champcueil;91;91135;3.31;2023;;
Champlan;91;91136;3.32;2023;;
Champmotteux;91;91137;3.85;2023;;
Chatignonville;91;91145;2.72;2023;;
Chauffour-lès-Étréchy;91;91148;5.16;2023;;
Cheptainville;91;91156;2.19;2023;;
Chevannes;91;91159;3.31;2023;;
Chilly-Mazarin;91;91161;3.32;2023;;
Corbeil-Essonnes;91;91174;3.06;2023;;
Corbreuse;91;91175;2.72;2023;;
Le Coudray-Montceaux;91;91179;3.06;2023;;
Courances;91;91180;2.89;2023;;
Courdimanche-sur-Essonne;91;91184;3.31;2023;;
Courson-Monteloup;91;91186;3.52;2023;;
Crosne;91;91191;3.05;2023;;
Dannemois;91;91195;2.89;2023;;
D'Huison-Longueville;91;91198;3.31;2023;;
Dourdan;91;91200;3.52;2023;;
Écharcon;91;91204;3.31;2023;;
Égly;91;91207;2.19;2023;;
Épinay-sous-Sénart;91;91215;3.05;2023;;
Épinay-sur-Orge;91;91216;3.32;2023;;
Étampes;91;91223;3.85;2023;;
Étiolles;91;91225;3.06;2023;;
Étréchy;91;91226;5.16;2023;;
Évry-Courcouronnes;91;91228;3.06;2023;;
La Ferté-Alais;91;91232;3.31;2023;;
Fleury-Mérogis;91;91235;2.19;2023;;
Fontaine-la-Rivière;91;91240;3.85;2023;;
Fontenay-lès-Briis;91;91243;3.52;2023;;
Fontenay-le-Vicomte;91;91244;3.31;2023;;
