Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Achères-la-Forêt;77;77001;2.84;2023;;
Amillis;77;77002;5.49;2023;;
Andrezel;77;77004;2.83;2023;;
Annet-sur-Marne;77;77005;3.06;2023;;
Arbonne-la-Forêt;77;77006;2.84;2023;;
Argentières;77;77007;5.56;2023;;
Armentières-en-Brie;77;77008;2.6;2023;2.3;4.9
Aufferville;77;77011;3.93;2023;2.63;6.56
Augers-en-Brie;77;77012;5.49;2023;;
Aulnoy;77;77013;5.49;2023;;
Avon;77;77014;2.84;2023;;
Baby;77;77015;5.49;2023;;
Bagneaux-sur-Loing;77;77016;3.93;2023;2.63;6.56
Bailly-Romainvilliers;77;77018;2.3;2023;;
Balloy;77;77019;5.49;2023;;
Bannost-Villegagnon;77;77020;5.49;2023;;
Barbey;77;77021;2.02;2023;2.65;4.67
Barbizon;77;77022;2.84;2023;;
Barcy;77;77023;3.69;2023;;
Bassevelle;77;77024;5.49;2023;;
Bazoches-lès-Bray;77;77025;5.49;2023;;
Beauchery-Saint-Martin;77;77026;5.49;2023;;
Beaumont-du-Gâtinais;77;77027;2.29;2023;;
Beauvoir;77;77029;5.56;2023;;
Bellot;77;77030;5.49;2023;;
Bernay-Vilbert;77;77031;2.84;2023;2.02;4.86
Beton-Bazoches;77;77032;5.49;2023;;
Bezalles;77;77033;5.49;2023;;
Blennes;77;77035;4.5;2023;;
Boisdon;77;77036;5.49;2023;;
Bois-le-Roi;77;77037;2.84;2023;;
Boissettes;77;77038;4.19;2023;2.59;6.78
Boissise-la-Bertrand;77;77039;4.19;2023;2.59;6.78
Boissise-le-Roi;77;77040;4.19;2023;2.59;6.78
Boissy-aux-Cailles;77;77041;2.84;2023;;
Boissy-le-Châtel;77;77042;3.95;2023;;
Boitron;77;77043;5.49;2023;;
Bombon;77;77044;5.56;2023;;
Boulancourt;77;77046;3.08;2023;;
Bouleurs;77;77047;3.13;2023;;
Bourron-Marlotte;77;77048;2.84;2023;;
