Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Ablis;78;78003;2.72;2023;;
Achères;78;78005;3.64;2023;;
Adainville;78;78006;4.16;2023;;
Aigremont;78;78007;2.42;2023;;
Allainville;78;78009;2.72;2023;;
Les Alluets-le-Roi;78;78010;2.42;2023;;
Andelu;78;78013;2.99;2023;;
Andrésy;78;78015;3.64;2023;;
Arnouville-lès-Mantes;78;78020;3.64;2023;;
Aubergenville;78;78029;3.64;2023;;
Auffreville-Brasseuil;78;78031;3.64;2023;;
Aulnay-sur-Mauldre;78;78033;3.64;2023;;
Auteuil;78;78034;2.99;2023;;
Autouillet;78;78036;2.99;2023;;
Bailly;78;78043;2.69;2023;;
Bazainville;78;78048;2.99;2023;;
Bazoches-sur-Guyonne;78;78050;2.99;2023;;
Béhoust;78;78053;2.99;2023;;
Bennecourt;78;78057;2.76;2023;;
Beynes;78;78062;2.99;2023;;
Boinville-en-Mantois;78;78070;3.64;2023;;
Boinville-le-Gaillard;78;78071;2.72;2023;;
Boinvilliers;78;78072;2.99;2023;;
Bois-d'Arcy;78;78073;2.69;2023;;
Boissets;78;78076;2.84;2023;;
La Boissière-École;78;78077;4.16;2023;;
Boissy-sans-Avoir;78;78084;2.99;2023;;
Bonnelles;78;78087;2.52;2023;;
Bouafle;78;78090;3.64;2023;;
Bougival;78;78092;2.69;2023;;
Bourdonné;78;78096;4.16;2023;;
Breuil-Bois-Robert;78;78104;3.64;2023;;
Bréval;78;78107;3.27;2023;;
Les Bréviaires;78;78108;4.16;2023;;
Brueil-en-Vexin;78;78113;3.64;2023;;
Buc;78;78117;2.69;2023;;
Buchelay;78;78118;3.64;2023;;
Bullion;78;78120;2.52;2023;;
Carrières-sous-Poissy;78;78123;3.64;2023;;
Carrières-sur-Seine;78;78124;3.24;2023;;
La Celle-les-Bordes;78;78125;2.72;2023;;
La Celle-Saint-Cloud;78;78126;2.69;2023;;
Chambourcy;78;78133;2.42;2023;;
Chanteloup-les-Vignes;78;78138;3.64;2023;;
Chapet;78;78140;3.64;2023;;
Châteaufort;78;78143;2.69;2023;;
Chatou;78;78146;3.24;2023;;
Chavenay;78;78152;2.69;2023;;
Le Chesnay-Rocquencourt;78;78158;2.69;2023;;
Civry-la-Forêt;78;78163;2.84;2023;;
Clairefontaine-en-Yvelines;78;78164;2.72;2023;;
Les Clayes-sous-Bois;78;78165;2.69;2023;;
Coignières;78;78168;2.69;2023;;
Condé-sur-Vesgre;78;78171;4.16;2023;;
Conflans-Sainte-Honorine;78;78172;3.64;2023;;
Crespières;78;78189;2.42;2023;;
Croissy-sur-Seine;78;78190;3.24;2023;;
Dammartin-en-Serve;78;78192;3.23;2023;;
Dannemarie;78;78194;2.72;2023;;
Davron;78;78196;2.42;2023;;
Drocourt;78;78202;3.64;2023;;
Ecquevilly;78;78206;3.64;2023;;
Élancourt;78;78208;2.99;2023;;
Émancé;78;78209;4.16;2023;;
Épône;78;78217;3.64;2023;;
Les Essarts-le-Roi;78;78220;2.99;2023;;
L' Étang-la-Ville;78;78224;3.24;2023;;
Évecquemont;78;78227;3.64;2023;;
La Falaise;78;78230;3.64;2023;;
Favrieux;78;78231;3.64;2023;;
Feucherolles;78;78233;2.42;2023;;
Flacourt;78;78234;3.64;2023;;
Flexanville;78;78236;2.99;2023;;
Flins-Neuve-Église;78;78237;3.04;2023;;
Flins-sur-Seine;78;78238;3.64;2023;;
Follainville-Dennemont;78;78239;3.64;2023;;
Fontenay-le-Fleury;78;78242;2.69;2023;;
Fontenay-Mauvoisin;78;78245;3.64;2023;;
Fontenay-Saint-Père;78;78246;3.64;2023;;
Freneuse;78;78255;2.76;2023;;
Gaillon-sur-Montcient;78;78261;3.64;2023;;
Galluis;78;78262;2.99;2023;;
Gambais;78;78263;2.99;2023;;
Gambaiseuil;78;78264;2.99;2023;;
Garancières;78;78265;2.99;2023;;
Gargenville;78;78267;3.64;2023;;
Gazeran;78;78269;4.16;2023;;
Gommecourt;78;78276;2.76;2023;;
Goupillières;78;78278;2.99;2023;;
Goussonville;78;78281;3.64;2023;;
Grandchamp;78;78283;4.16;2023;;
Gressey;78;78285;2.84;2023;;
Grosrouvre;78;78289;2.99;2023;;
Guernes;78;78290;3.64;2023;;
Guerville;78;78291;3.64;2023;;
Guitrancourt;78;78296;3.64;2023;;
Guyancourt;78;78297;2.69;2023;;
Hardricourt;78;78299;3.64;2023;;
Hargeville;78;78300;3.64;2023;;
La Hauteville;78;78302;4.16;2023;;
Hermeray;78;78307;4.16;2023;;
Houdan;78;78310;2.32;2023;;
Houilles;78;78311;2.32;2023;;
Issou;78;78314;3.64;2023;;
Jambville;78;78317;3.64;2023;;
Notre-Dame-de-la-Mer;78;78320;2.76;2023;;
Jouars-Pontchartrain;78;78321;2.99;2023;;
Jouy-en-Josas;78;78322;2.32;2023;;
Jouy-Mauvoisin;78;78324;3.64;2023;;
Jumeauville;78;78325;3.64;2023;;
Juziers;78;78327;3.64;2023;;
Lainville-en-Vexin;78;78329;3.64;2023;;
Lévis-Saint-Nom;78;78334;2.99;2023;;
Limay;78;78335;3.64;2023;;
Limetz-Villez;78;78337;2.76;2023;;
Les Loges-en-Josas;78;78343;2.32;2023;;
Longnes;78;78346;3.04;2023;;
Longvilliers;78;78349;2.72;2023;;
Louveciennes;78;78350;2.69;2023;;
Magnanville;78;78354;3.64;2023;;
Magny-les-Hameaux;78;78356;2.99;2023;;
Maisons-Laffitte;78;78358;3.24;2023;;
Mantes-la-Jolie;78;78361;3.64;2023;;
Mantes-la-Ville;78;78362;3.64;2023;;
Marcq;78;78364;2.99;2023;;
Mareil-le-Guyon;78;78366;2.99;2023;;
Mareil-Marly;78;78367;3.24;2023;;
Mareil-sur-Mauldre;78;78368;2.99;2023;;
Marly-le-Roi;78;78372;3.24;2023;;
Maulette;78;78381;2.99;2023;;
Maurecourt;78;78382;2.43;2023;;
Maurepas;78;78383;2.69;2023;;
Médan;78;78384;2.42;2023;;
Méré;78;78389;2.99;2023;;
Méricourt;78;78391;3.64;2023;;
Le Mesnil-le-Roi;78;78396;2.32;2023;;
Le Mesnil-Saint-Denis;78;78397;2.99;2023;;
Les Mesnuls;78;78398;2.99;2023;;
Meulan-en-Yvelines;78;78401;3.64;2023;;
Mézières-sur-Seine;78;78402;3.64;2023;;
Mézy-sur-Seine;78;78403;3.64;2023;;
Millemont;78;78404;2.99;2023;;
Milon-la-Chapelle;78;78406;2.99;2023;;
Mittainville;78;78407;4.16;2023;;
Mondreville;78;78413;2.48;2023;;
Montainville;78;78415;2.99;2023;;
Montalet-le-Bois;78;78416;3.64;2023;;
Montesson;78;78418;3.24;2023;;
Montfort-l'Amaury;78;78420;2.99;2023;;
