DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D101.0;Verif_D101.0;CalculAuto_D101.0;D102.0;Verif_D102.0;CalculAuto_D102.0;VP.056;VP.190;VP.177;VP.216;VP.179;VP.178;VP.219;VP.215;VP.214;VP.191;VP.175;VP.213;VP.229;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=256454;SYNDICAT D'EAU POTABLE SAONE VEYLE REYSSOUZE;Syndicat Intercommunal à Vocation Unique;ServiceId=182724;eau potable : Périmetre Ex SIE Basse Reyssouze;Délégation;17526;Confirmé / publié;17222;Sans anomalie apparente;0;2,5;Sans anomalie apparente;1;9616;44,04;84,54;0,29;58,24;157,2;;0,065;;42;17222;5,5;1,79;;0;;0,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,3375;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182217;SIE Valromey;Syndicat Mixte;ServiceId=182740;eau potable;Délégation;6052;Confirmé / publié;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181869;Anglefort;Commune;ServiceId=182257;eau potable;Régie;1116;Confirmé / publié;1116;Sans anomalie apparente;0;1,72;Sans anomalie apparente;1;572;;;0,29;34,8;171,4;;;;39,4;1116;0;1,95;90998,91;0;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181935;Châtillon-sur-Chalaronne;Commune;ServiceId=182361;eau potable;Délégation;5171;Confirmé / publié;5166;Sans anomalie apparente;0;2,75;Sans anomalie apparente;1;2934;52,62;200,22;0,29;59,35;70,88;;0,061;;20;5166;5,5;1,76;;0;500;0,424;500;7500;0,424;7500;;0,424;;;;;;;;;;;;;;;;;;;;;;0;500;1,23;500;7500;1,23;7500;;1,23;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182029;Loyettes;Commune;ServiceId=182489;eau potable;Délégation;3324;En cours de saisie;3187;Non vérifié;0;1,9;Non vérifié;0;1565;29,36;118,76;0,29;46,66;62;;;;2;3187;5,5;2,04;;0;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,745;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181913;Briord;Commune;ServiceId=182324;eau potable;Régie;1114;En cours de saisie;1114;Non vérifié;0;2,08;Non vérifié;0;590;;;0,28;46,61;203;0;0;0;35;1114;5,5;1,89;203;0;;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212296;Haut Bugey Agglomération (HBA);Communauté d'agglomération;ServiceId=312654;eau potable : Nantua-Ex Sivom Lac Sylans DSP;Délégation;5017;Vérifié;5662;Sans anomalie apparente;0;2,96;Présomption d'anomalie;0;2704;28,45;182,09;0,29;52,87;111,59;;;;37,19;5662;5,5;2,09;691372;0;;0,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,2803;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=270094;SYNDICAT DE DISTRIBUTION D'EAU POTABLE BRESSE SURAN REVERMONT;Syndicat Mixte;ServiceId=271054;eau potable : Ain Suran Revermont;Délégation;16303;Confirmé / publié;16289;Sans anomalie apparente;0;2,57;Sans anomalie apparente;1;8832;31,32;116,2;0,29;55,8;136,53;;0,041;;58,09;16289;5,5;1,84;;0;;0,6537;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,7073;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181941;Chazey-sur-Ain;Commune;ServiceId=182369;eau potable;Délégation;1650;Confirmé / publié;1660;Sans anomalie apparente;0;1,72;Sans anomalie apparente;1;779;26,06;121,58;0,29;59,95;25,1;;0,1198;;6,86;1660;5,5;2,13;0;0;;0,152;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,796;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181862;L'Abergement-de-Varey;Commune;ServiceId=182248;eau potable;Régie;268;Vérifié;273;Sans anomalie apparente;0;2,8;Sans anomalie apparente;1;171;;;0,29;102,7;233;;0,42;;65;273;5,5;1,6;24025,05;0;;1,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
