DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D101.0;Verif_D101.0;CalculAuto_D101.0;D102.0;Verif_D102.0;CalculAuto_D102.0;VP.056;VP.190;VP.177;VP.216;VP.179;VP.178;VP.219;VP.215;VP.214;VP.191;VP.175;VP.213;VP.229;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=182208;SIE Massignieu de Rives-Nattages-Parves;Syndicat Intercommunal à Vocation Unique;ServiceId=182731;eau potable;Délégation;1609;Confirmé / publié;1594;Sans anomalie apparente;0;3,1;Sans anomalie apparente;1;830;68,76;176,46;0,29;69,69;126,36;;0,1289;;30,48;1594;5,5;1,92;;0;;0,799;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,8975;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182064;Oncieu;Commune;ServiceId=182538;eau potable;Régie;97;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=212295;SIE MEXIMIEUX ET COTIÈRE;Syndicat Intercommunal à Vocation Unique;ServiceId=215212;eau potable;Délégation;13743;Confirmé / publié;13949;Sans anomalie apparente;0;1,57;Sans anomalie apparente;1;6624;19,12;66,28;0,29;57,46;64,64;;0,107;;3,44;13949;5,5;2,11;;0;;0,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,393;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181998;Groissiat;Commune;ServiceId=182772;eau potable;Régie;609;Confirmé / publié;1206;Sans anomalie apparente;0;1,86;Sans anomalie apparente;1;458;;;0,29;55,8;167,76;0;0,0779;0;30;1206;5,5;2,63;;0;;1,148;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181979;Dortan;Commune;ServiceId=182420;eau potable;Régie;951;Confirmé / publié;1913;Sans anomalie apparente;0;3,14;Sans anomalie apparente;1;987;;;0,29;63,8;313,08;0;0,0779;0;30;1913;5,5;1,94;170076;0;;2,359;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181893;Béon;Commune;ServiceId=182291;eau potable (Béon);Régie;481;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181905;Boyeux-Saint-Jérôme;Commune;ServiceId=182310;eau potable;Régie;383;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181907;Brégnier-Cordon;Commune;ServiceId=182313;eau potable;Régie;442;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181911;Bressolles;Commune;ServiceId=182320;eau potable;Régie;428;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181915;La Burbanche;Commune;ServiceId=182327;eau potable;Régie;71;En cours de saisie;95;Non vérifié;0;;Non vérifié;1;91;;;0,29;;;;;;;95;0;1,04;;0;;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182212;SIE Renom Chalaronne;Syndicat Intercommunal à Vocation Unique;ServiceId=182735;eau potable : Perimetre Ex SIE Renom Chalaronne;Délégation;4773;Confirmé / publié;4886;Sans anomalie apparente;0;2,31;Sans anomalie apparente;1;2252;30;101,64;0,29;57,06;118,6;0;0,065;0;31;4886;5,5;2,17;;0;;0,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,597;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182058;Nantua;Commune;ServiceId=182781;eau potable : distribution;Délégation;1848;Confirmé / publié;3696;Sans anomalie apparente;0;1,9;Sans anomalie apparente;1;1550;30,02;85,22;0,29;56,01;86,28;0,0779;0;0;30;3696;5,5;2,38;;0;;0,469;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,46;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182211;SIE Nord Est de Lyon;Syndicat Intercommunal à Vocation Unique;ServiceId=182734;eau potable;Délégation;20728;Confirmé / publié;20399;Sans anomalie apparente;0;1,69;Sans anomalie apparente;0;9234;13,44;72,92;0,29;44,94;76,59;;;;20,5;20399;5,5;2,21;;0;150;0,4674;150;10000;0,3075;10000;;0,0051;;;;;;;;;;;;;;;;;;;;;;0;;0,4957;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181926;Chanay;Commune;ServiceId=182347;eau potable;Régie;656;Confirmé / publié;690;Sans anomalie apparente;0;2,24;Sans anomalie apparente;1;253;;;0,29;59,61;209,1;0;0,09;0;37,5;690;5,5;2,73;61684,14;0;;1,43;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181919;Chalamont;Commune;ServiceId=182335;eau potable;Régie;2442;Confirmé / publié;2450;Sans anomalie apparente;0;1,84;Sans anomalie apparente;1;1275;;;0,29;34,8;186,29;0;0;0;24,29;2450;0;1,92;288929,08;0;;1,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
