DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D101.0;Verif_D101.0;CalculAuto_D101.0;D102.0;Verif_D102.0;CalculAuto_D102.0;VP.056;VP.190;VP.177;VP.216;VP.179;VP.178;VP.219;VP.215;VP.214;VP.191;VP.175;VP.213;VP.229;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
001;CollectivityId=182030;Magnieu (avant 2019);Commune;ServiceId=182491;eau potable : (Magnieu);Régie;452;Confirmé / publié;438;Sans anomalie apparente;1;1,640525;Sans anomalie apparente;1;228;;;0,28;43,863;153;;;;21;438;5,5;1,92105263157895;32713,43;0;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182029;Loyettes;Commune;ServiceId=182489;eau potable;Délégation;3142;Confirmé / publié;3034;Sans anomalie apparente;1;1,99947116666667;Sans anomalie apparente;1;1260;23,98;89,548;0,29;47,30854;103,08;;;;3;3034;5,5;2,40793650793651;288630;0;;0,834;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,5464;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182028;Lompnieu;Commune;ServiceId=182487;eau potable (Lompnieu);Régie;61;Confirmé / publié;163;Sans anomalie apparente;1;2,06428333333333;Sans anomalie apparente;1;108;0;0;0,29;47,714;200;0;0;0;80;163;5,5;1,50925925925926;18959;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182017;Lantenay;Commune;ServiceId=182469;eau potable;Régie;269;Confirmé / publié;275;Sans anomalie apparente;1;2,95385933333333;Sans anomalie apparente;1;148;;;0,29;64,46312;290;0;0,0932;0;50;275;5,5;1,85810810810811;9390,43;0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182003;Injoux-Génissiat;Commune;ServiceId=182448;eau potable;Régie;1163;Confirmé / publié;1162;Sans anomalie apparente;1;2,20333333333333;Sans anomalie apparente;1;605;;;0,28;39,6;224,8;0;0,05;0;22;1162;0;1,92066115702479;151418;0;;1,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182002;HOTONNES;Commune;ServiceId=182446;eau potable (HOTONNES);Régie;157;Vérifié;324;Sans anomalie apparente;1;1,76;Présomption d'anomalie;0;172;;;0,31;36,71;165;0;0;0;45;324;5,5;1,88372093023256;23917,69;0;;1,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=182000;Hauteville-Lompnes;Commune;ServiceId=182443;eau potable (Hauteville-Lompnes);Régie;2033;Confirmé / publié;4069;Sans anomalie apparente;1;2,34;Sans anomalie apparente;0;1839;0;0;0,28;33,6;232,65;;0;0;60;4069;5,5;2,2126155519304;448558,56;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181991;Géovreisset;Commune;ServiceId=182771;eau potable;Régie;483;Confirmé / publié;951;Sans anomalie apparente;0;1,72033333333333;Sans anomalie apparente;1;350;0;0;0,28;39,6;166,84;0;0,05;0;7;951;0;2,71714285714286;82359,48;0;;1,332;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181959;Cormaranche-en-Bugey;Commune;ServiceId=182395;eau potable (Cormaranche-en-Bugey);Régie;433;Confirmé / publié;887;Sans anomalie apparente;1;;Non vérifié;1;468;40;161,2;0,29;;;0;0;0;40;887;5,5;1,89529914529915;41103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;120;1,01;120;;0;;;;;;;;;;;;;;;;;;;;;;;;
001;CollectivityId=181943;Chevillard;Commune;ServiceId=182372;eau potable;Régie;169;Vérifié;160;Sans anomalie apparente;1;0,00125;Présomption d'anomalie;1;93;;;0,15;0,15;0;0;0;0;0;160;0;1,72043010752688;22832;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
