DPT du siège de la coll.;Id SISPEA de la collectivité;Nom collectivité;Type collectivité;Id SISPEA de l'entité de gestion;Nom de l'entité de gestion;Mode de gestion;Pop de l'entité de gestion sans double compte;Statut;D101.0;Verif_D101.0;CalculAuto_D101.0;D102.0;Verif_D102.0;CalculAuto_D102.0;VP.056;VP.190;VP.177;VP.216;VP.179;VP.178;VP.219;VP.215;VP.214;VP.191;VP.175;VP.213;VP.229;DC.184;Borne inférieure Tranche 1 (part collectivité);Borne supérieure Tranche 1 (part collectivité);Prix Tranche 1 (part collectivité);Borne inférieure Tranche 2 (part collectivité);Borne supérieure Tranche 2 (part collectivité);Prix Tranche 2 (part collectivité);Borne inférieure Tranche 3 (part collectivité);Borne supérieure Tranche 3 (part collectivité);Prix Tranche 3 (part collectivité);Borne inférieure Tranche 4 (part collectivité);Borne supérieure Tranche 4 (part collectivité);Prix Tranche 4 (part collectivité);Borne inférieure Tranche 5 (part collectivité);Borne supérieure Tranche 5 (part collectivité);Prix Tranche 5 (part collectivité);Borne inférieure Tranche 6 (part collectivité);Borne supérieure Tranche 6 (part collectivité);Prix Tranche 6 (part collectivité);Borne inférieure Tranche 7 (part collectivité);Borne supérieure Tranche 7 (part collectivité);Prix Tranche 7 (part collectivité);Borne inférieure Tranche 8 (part collectivité);Borne supérieure Tranche 8 (part collectivité);Prix Tranche 8 (part collectivité);Borne inférieure Tranche 9 (part collectivité);Borne supérieure Tranche 9 (part collectivité);Prix Tranche 9 (part collectivité);Borne inférieure Tranche 10 (part collectivité);Borne supérieure Tranche 10 (part collectivité);Prix Tranche 10 (part collectivité);Borne inférieure Tranche 1 (part délégataire);Borne supérieure Tranche 1 (part délégataire);Prix Tranche 1 (part délégataire);Borne inférieure Tranche 2 (part délégataire);Borne supérieure Tranche 2 (part délégataire);Prix Tranche 2 (part délégataire);Borne inférieure Tranche 3 (part délégataire);Borne supérieure Tranche 3 (part délégataire);Prix Tranche 3 (part délégataire);Borne inférieure Tranche 4 (part délégataire);Borne supérieure Tranche 4 (part délégataire);Prix Tranche 4 (part délégataire);Borne inférieure Tranche 5 (part délégataire);Borne supérieure Tranche 5 (part délégataire);Prix Tranche 5 (part délégataire);Borne inférieure Tranche 6 (part délégataire);Borne supérieure Tranche 6 (part délégataire);Prix Tranche 6 (part délégataire);Borne inférieure Tranche 7 (part délégataire);Borne supérieure Tranche 7 (part délégataire);Prix Tranche 7 (part délégataire);Borne inférieure Tranche 8 (part délégataire);Borne supérieure Tranche 8 (part délégataire);Prix Tranche 8 (part délégataire);Borne inférieure Tranche 9 (part délégataire);Borne supérieure Tranche 9 (part délégataire);Prix Tranche 9 (part délégataire);Borne inférieure Tranche 10 (part délégataire);Borne supérieure Tranche 10 (part délégataire);Prix Tranche 10 (part délégataire)
064;CollectivityId=212607;SYNDICAT INTERCOMMUNAL D'ALIMENTATION EN EAU POTABLE DU SALEYS ET DES GAVES;Syndicat Intercommunal à Vocation Unique;ServiceId=52468;eau potable : eau potable;Délégation;9543;Confirmé / publié;11200;Sans anomalie apparente;0;2,23;Sans anomalie apparente;1;4998;45,15;128,8;0,33;62,22;77,11;;0,072;;32,75;11200;5,5;2,24;;0;;0,3697;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,6971;;;;;;;;;;;;;;;;;;;;;;;;;;;
064;CollectivityId=52222;S.I. D'AEP D'OGEU LES BAINS;Syndicat Intercommunal à Vocation Unique;ServiceId=52467;eau potable;Délégation;10720;Confirmé / publié;6490;Sans anomalie apparente;0;2,81;Sans anomalie apparente;1;2772;39;132,96;0,33;66,81;138;;0,08;;30;6490;5,5;2,34;900542;0;120;0,9;120;;;;;;;;;;;;;;;;;;;;;;;;;;;0;120;0,783;120;;;;;;;;;;;;;;;;;;;;;;;;;;
064;CollectivityId=52086;Osse-en-Aspe;Commune;ServiceId=52304;eau potable;Régie;325;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;CollectivityId=155070;Barrancoueu;Commune;ServiceId=155364;eau potable;Régie;33;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;CollectivityId=221455;Communauté d'Agglomération Tarbes-Lourdes-Pyrénées;Communauté d'agglomération;ServiceId=155384;eau potable : Borderes sur Echez;Délégation;5227;Confirmé / publié;;Anomalie;0;2,04;Sans anomalie apparente;1;2273;38,68;161,58;0,33;61,39;22,4;;0,075;;14;;5,5;;;0;;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1,0242;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;CollectivityId=220624;Loudenvielle;Commune;ServiceId=155508;eau potable;Régie;301;En attente de saisie;;Non vérifié;0;;Non vérifié;1;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;CollectivityId=155226;SYNDICAT MIXTE INTERCOMMUNAL D'ALIMENTATION EN EAU POTABLE DE L'ARROS (65);Syndicat Mixte;ServiceId=155646;eau potable;Délégation;13774;Confirmé / publié;13300;Sans anomalie apparente;0;2,42;Sans anomalie apparente;1;7220;45,1;114,16;0,33;67,91;107,73;;0,11;;41,75;13300;5,5;1,84;;0;15;0,01;15;120;0,627;120;;;;;;;;;;;;;;;;;;;;;;;;0;;0,5755;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;CollectivityId=155225;SYNDICAT INTERCOMMUNAL D'ALIMENTATION EN EAU POTABLE DES HAUTES VALLEES DU GERS ET DE LA BAÏSE;Syndicat Intercommunal à Vocation Unique;ServiceId=155645;eau potable;Délégation;2921;Confirmé / publié;3230;Sans anomalie apparente;0;3,06;Sans anomalie apparente;1;1660;49,99;154,67;0,33;73,95;137,99;0;0,127;0;54,94;3230;5,5;1,95;203881;0;;0,6921;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0,8723;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;CollectivityId=155222;SYNDICAT INTERCOMMUNAL D'ALIMENTATION EN EAU POTABLE ET D'ASSAINISSEMENT DU LIZON;Syndicat Intercommunal à Vocations Multiples;ServiceId=155641;eau potable;Régie;5813;Confirmé / publié;6782;Sans anomalie apparente;0;2,65;Sans anomalie apparente;1;3514;;;0,33;63,11;254,31;;0,058;;73,33;6782;5,5;1,93;1044998;0;;1,5082;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;CollectivityId=155039;Agos-Vidalos;Commune;ServiceId=155300;eau potable;Régie;416;Confirmé / publié;714;Sans anomalie apparente;0;1,47;Sans anomalie apparente;1;255;;;0;7,2;169;0;0,06;0;49;714;0;2,8;46933;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
