Nom de la commune adhérente,Somme de Tarif zone tarifaire 1,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Identifiant SISPEA de la commune adhérente
Adam-lès-Vercel,3.12,25,25007,9490
Allas-les-Mines,3.12,24,24006,8931
Arceau,3.12,21,21016,7602
Avoudrey,3.12,25,25039,9519
Bagnols-sur-Cèze,3.12,30,30028,11835
Belloy-sur-Somme,3.12,80,80082,33014
Berbiguières,3.12,24,24036,8960
Bremondans,3.12,25,25089,9564
Bretigny,3.12,21,21107,7692
Brognon,3.12,21,21111,7696
Brûlon,3.12,72,72050,30161
Camprond,3.12,50,50094,19109
Castels et Bézenac,3.12,24,24087,220748
Chaumousey,3.12,176,176196,70802
Chaux-lès-Passavant,3.12,25,25141,9614
Chevigney-lès-Vercel,3.12,25,25151,9622
Clénay,3.12,21,21179,7763
Consolation-Maisonnettes,3.12,25,25161,9631
Coux et Bigaroque-Mouzens,3.12,24,24142,220414
Dammartin-Marpain,3.12,39,39188,15682
Épagny,3.12,21,21245,7827
Épenoy,3.12,25,25219,9683
Étalans,3.12,25,25222,220854
Étray,3.12,25,25227,9691
Étrepigney,3.12,39,39218,15711
Évans,3.12,39,39219,15712
Flacey,3.12,21,21266,7848
Flangebouche,3.12,25,25243,9707
Fournets-Luisans,3.12,25,25288,9750
Fraisans,3.12,39,39235,15727
Fuans,3.12,25,25262,9725
Gendrey,3.12,39,39246,15737
Germéfontaine,3.12,25,25268,9731
Gonsans,3.12,25,25278,9740
Grandfontaine-sur-Creuse,3.12,25,25289,9751
Guyans-Durnes,3.12,25,25300,9759
Guyans-Vennes,3.12,25,25301,9760
La Chaussée-Tirancourt,3.12,80,80187,33116
La Sommette,3.12,25,25550,9997
Landresse,3.12,25,25325,9784
Laviron,3.12,25,25333,9792
Les Premiers Sapins,3.12,25,25424,220331
Longechaux,3.12,25,25342,9800
Loray,3.12,25,25349,9807
Louvatange,3.12,39,39302,15790
Marsannay-le-Bois,3.12,21,21391,7973
Meyrals,3.12,24,24268,9179
Monteplain,3.12,39,39352,15838
Montmirey-la-Ville,3.12,39,39360,15844
Norges-la-Ville,3.12,21,21462,8042
Ogeu-les-Bains,3.12,64,64421,26961
Orchamps,3.12,39,39396,15876
Orchamps-Vennes,3.12,25,25432,9881
Orsans,3.12,25,25435,9884
Ougney,3.12,39,39398,15878
Pagney,3.12,39,39402,15882
Passonfontaine,3.12,25,25447,9896
Pays de Belvès,3.12,24,24035,220114
Picquigny,3.12,80,80622,33523
Pierrefontaine-les-Varans,3.12,25,25453,9902
Plumont,3.12,39,39430,15908
Ranchot,3.12,39,39451,15927
Rans,3.12,39,39452,15928
Revin,3.12,8,8363,3048
Saint-Germain-de-Belvès,3.12,24,24416,9320
Saint-Hilaire-de-Clisson,3.12,44,44165,17425
Saint-Julien-sur-Cher,3.12,41,41218,16596
Salans,3.12,39,39498,15972
Saligney,3.12,39,39499,15973
Savigny-le-Sec,3.12,21,21591,8170
Siorac-en-Périgord,3.12,24,24538,9438
Taxenne,3.12,39,39527,15998
Thervay,3.12,39,39528,15999
Vernierfontaine,3.12,25,25605,10048
Villers-Chief,3.12,25,25623,10065
Vitreux,3.12,39,39581,16047
Artemps,3.11,2,2025,729
Ballancourt-sur-Essonne,3.11,91,91045,36390
Blandin,3.11,38,38047,15020
Boussay,3.11,44,44022,17283
Bray-Saint-Christophe,3.11,2,2117,818
Cessieu,3.11,38,38064,15037
Charly-sur-Marne,3.11,2,2163,864
Chassignieu,3.11,38,38089,15060
Chélieu,3.11,38,38098,15068
Clisson,3.11,44,44043,17303
Corbeil-Essonnes,3.11,91,91174,36429
Coupru,3.11,2,2221,921
Courcoury,3.11,17,17128,6301
Crouttes-sur-Marne,3.11,2,2242,942
Dallon,3.11,2,2257,956
Doissin,3.11,38,38147,15112
Domptin,3.11,2,2268,967
Écharcon,3.11,91,91204,36441
Fontaine-lès-Clercs,3.11,2,2320,1016
Fontenay-le-Vicomte,3.11,91,91244,36454
Gétigné,3.11,44,44063,17323
Gorges,3.11,44,44064,17324
Grosbreuil,3.11,85,85103,34638
Happencourt,3.11,2,2367,1062
Hodent,3.11,95,95309,36788
Jard-sur-Mer,3.11,85,85114,34649
La Boissière-des-Landes,3.11,85,85026,34567
La Chapelle-de-la-Tour,3.11,38,38076,15049
La Guerche-de-Bretagne,3.11,35,35125,14217
La Tour-du-Pin,3.11,38,38509,15450
Le Bernard,3.11,85,85022,34563
Le Champ-Saint-Père,3.11,85,85050,34590
Le Givre,3.11,85,85101,34636
Les Gonds,3.11,17,17179,6350
Lesparre-Médoc,3.11,33,33240,13449
Lignan-de-Bordeaux,3.11,33,33245,13454
Longeville-sur-Mer,3.11,85,85127,34660
Mailleroncourt-Saint-Pancras,3.11,70,70323,29298
Marigny-en-Orxois,3.11,2,2465,1157
Mennecy,3.11,91,91386,36486
Mirmande,3.11,26,26185,10254
Montagnieu,3.11,38,38246,15201
Montrevel,3.11,38,38257,15211
Moutiers-les-Mauxfaits,3.11,85,85156,34689
Nogent-l'Artaud,3.11,2,2555,1247
Nouzilly,3.11,37,37175,14870
Ollezy,3.11,2,2570,1262
Ouvrouer-les-Champs,3.11,45,45241,17713
Pavant,3.11,2,2596,1288
Pocé-les-Bois,3.11,35,35229,14319
Poiroux,3.11,85,85179,34710
Romeny-sur-Marne,3.11,2,2653,1342
Saint-Avaugourd-des-Landes,3.11,85,85200,34729
Saint-Clair-de-la-Tour,3.11,38,38377,15329
Saint-Didier-de-la-Tour,3.11,38,38381,15333
Sainte-Blandine,3.11,38,38369,15322
Saint-Georges-sur-Baulche,3.11,89,89346,36145
Saint-Germain-lès-Corbeil,3.11,91,91553,36532
Saint-Hilaire-la-Forêt,3.11,85,85231,34756
Saint-Jean-de-Soudain,3.11,38,38401,15352
Saint-Ondras,3.11,38,38434,15384
Saint-Victor-de-Cessieu,3.11,38,38464,15411
Saint-Vincent-sur-Graon,3.11,85,85277,34795
Saint-Vincent-sur-Jard,3.11,85,85278,34796
Saulchery,3.11,2,2701,1388
Seraucourt-le-Grand,3.11,2,2710,1397
Sommette-Eaucourt,3.11,2,2726,1413
Talmont-Saint-Hilaire,3.11,85,85288,34805
Tugny-et-Pont,3.11,2,2752,1439
Val-de-Virieu,3.11,38,38560,260327
Valencogne,3.11,38,38520,15460
Vert-le-Petit,3.11,91,91649,36559
Vétheuil,3.11,95,95651,36872
Viels-Maisons,3.11,2,2798,1485
Villefargeau,3.11,89,89453,36245
Villiers-Saint-Denis,3.11,2,2818,1505
Andres,3.1,62,62031,25217
Ars-en-Ré,3.1,17,17019,6195
Aubenton,3.1,2,2031,735
Balinghem,3.1,62,62078,25264
Beire-le-Fort,3.1,21,21057,7642
Blanquefort-sur-Briolance,3.1,47,47029,18185
Bois-Bernard,3.1,62,62148,25331
Bourg-Saint-Maurice,3.1,73,73054,30537
Bourlens,3.1,47,47036,18192
Buire,3.1,2,2134,835
Campagne-lès-Guines,3.1,62,62203,25385
Carvin,3.1,62,62215,25397
Caylus,3.1,82,82038,34081
Champdôtre,3.1,21,21138,7723
Clermont-sur-Lauquet,3.1,11,11094,4041
Collonges-et-Premières,3.1,21,21183,276035
Condezaygues,3.1,47,47070,18226
Courcelles-lès-Lens,3.1,62,62249,25431
Courrières,3.1,62,62250,25432
Cuzorn,3.1,47,47077,18233
Dourges,3.1,62,62274,25456
Évin-Malmaison,3.1,62,62321,25501
Fumel,3.1,47,47106,18262
Hénin-Beaumont,3.1,62,62427,25604
Hirson,3.1,2,2381,1076
La Couarde-sur-Mer,3.1,17,17121,6295
Labergement-lès-Auxonne,3.1,21,21331,7913
Lacapelle-Biron,3.1,47,47123,18278
Le Bois-Plage-en-Ré,3.1,17,17051,6227
Le Tholy,3.1,88,88470,35759
Le Verdon-sur-Mer,3.1,33,33544,13743
Leforest,3.1,62,62497,25673
Les Attaques,3.1,62,62043,25229
Les Maillys,3.1,21,21371,7953
Les Portes-en-Ré,3.1,17,17286,6456
Libercourt,3.1,62,62907,26079
Licques,3.1,62,62506,25682
Loix,3.1,17,17207,6378
Longeault-Pluvault,3.1,21,21352,260367
Louches,3.1,62,62531,25707
Mespaul,3.1,29,29148,11664
Monsempron-Libos,3.1,47,47179,18331
Montayral,3.1,47,47185,18337
Montigny-en-Gohelle,3.1,62,62587,25762
Noyelles-Godault,3.1,62,62624,25799
Oignies,3.1,62,62637,25812
Paulx,3.1,44,44119,17379
Plouénan,3.1,29,29184,11697
Plougoulm,3.1,29,29192,11705
Pluvet,3.1,21,21487,8067
Pont,3.1,21,21495,8075
Rouffignac-Saint-Cernin-de-Reilhac,3.1,24,24356,9263
Saint-Clément-des-Baleines,3.1,17,17318,6488
Saint-Front-sur-Lémance,3.1,47,47242,18394
Saint-Jean-de-Galaure,3.1,52,52432,632258
Saint-Vite,3.1,47,47283,18431
Santec,3.1,29,29273,11779
Sauveterre-la-Lémance,3.1,47,47292,18440
Soirans,3.1,21,21609,8188
Tillenay,3.1,21,21639,8218
Trébédan,3.1,22,22342,8620
Tréclun,3.1,21,21643,8222
Adainville,3.09,78,78006,32370
Barcelonne-du-Gers,3.09,32,32027,12774
Baugé-en-Anjou,3.09,49,49018,220211
Beaufort-en-Anjou,3.09,49,49021,220242
Bourdonné,3.09,78,78096,32403
Château-Thébaud,3.09,44,44037,17298
Condé-sur-Vesgre,3.09,78,78171,32430
Gasny,3.09,27,27279,10716
Giverny,3.09,27,27285,10722
La Chapelle-Longueville,3.09,27,27554,220679
La Flotte,3.09,17,17161,6333
La Ménitré,3.09,49,49201,18853
Lacanche,3.09,21,21334,7916
Les Bois d'Anjou,3.09,49,49138,220214
Les Clefs,3.09,74,74079,30867
Lupiac,3.09,32,32219,12964
Maclas,3.09,42,42129,16799
Mazé-Milon,3.09,49,49194,220616
Noyant-Villages,3.09,49,49228,220140
Pont-Aven,3.09,29,29217,11728
Sainte-Geneviève-lès-Gasny,3.09,27,27540,10966
Saint-Germé,3.09,32,32378,13122
Saint-Martin-de-Ré,3.09,17,17369,6538
Saint-Mont,3.09,32,32398,13142
Siarrouy,3.09,65,65425,27516
Tigy,3.09,45,45324,17792
Velars-sur-Ouche,3.09,21,21661,8239
Viella,3.09,32,32463,13207
Villeneuve-de-Berg,3.09,7,7341,2711
Anctoville-sur-Boscq,3.08,50,50008,19031
Arcangues,3.08,64,64038,26588
Arc-sur-Tille,3.08,21,21021,7606
Bassussarry,3.08,64,64100,26648
Belleville-en-Beaujolais,3.08,69,69019,260368
Bréville-sur-Mer,3.08,50,50081,19097
Briscous,3.08,64,64147,26695
Cambo-les-Bains,3.08,64,64160,26708
Carolles,3.08,50,50102,19117
Chambeire,3.08,21,21130,7715
Coudeville-sur-Mer,3.08,50,50143,19154
Donville-les-Bains,3.08,50,50165,19175
Elliant,3.08,29,29049,11572
Espelette,3.08,64,64213,26758
Granville,3.08,50,50218,19227
Halsou,3.08,64,64255,26799
Hudimesnil,3.08,50,50252,19260
Itxassou,3.08,64,64279,26822
Janvilliers,3.08,51,51304,19912
Jatxou,3.08,64,64282,26825
Jullouville,3.08,50,50066,19084
Lahonce,3.08,64,64304,26847
Larressore,3.08,64,64317,26860
Macey,3.08,10,10211,3720
Mécringes,3.08,51,51359,19964
Melgven,3.08,29,29146,11662
Montaignac-sur-Doustre,3.08,19,19143,316121
Montgueux,3.08,10,10248,3756
Mouguerre,3.08,64,64407,26947
Nérondes,3.08,18,18160,6810
Remilly-sur-Tille,3.08,21,21521,8100
Sacy-le-Petit,3.08,60,60563,24545
Saint-Aubin-des-Préaux,3.08,50,50447,19438
Saint-Pair-sur-Mer,3.08,50,50532,19517
Saint-Pierre-d'Irube,3.08,64,64496,27036
Saint-Planchers,3.08,50,50541,19526
Tellecey,3.08,21,21624,8203
Urcuit,3.08,64,64540,27079
Urt,3.08,64,64546,27085
Ustaritz,3.08,64,64547,27086
Vauchamps,3.08,51,51596,20182
Villefranque,3.08,64,64558,27096
Vimoutiers,3.08,61,61508,25181
Yquelon,3.08,50,50647,19624
Assérac,3.07,44,44006,17267
Batz-sur-Mer,3.07,44,44010,17271
Blaye,3.07,33,33058,13269
Boullay-les-Troux,3.07,91,91093,36401
Bourg-des-Comptes,3.07,35,35033,14129
Camoël,3.07,56,56030,22063
Cernay-la-Ville,3.07,78,78128,32415
Champagne-et-Fontaine,3.07,24,24097,9018
Chevreuse,3.07,78,78160,32424
Choisel,3.07,78,78162,32425
Couches,3.07,71,71149,29685
Cours-les-Barres,3.07,18,18075,6725
Créot,3.07,71,71151,29687
Cuffy,3.07,18,18082,6732
Dampierre-en-Yvelines,3.07,78,78193,32437
Dracy-lès-Couches,3.07,71,71183,29719
Épertully,3.07,71,71188,29724
Épinac,3.07,71,71190,29726
Essertenne,3.07,71,71191,29727
Férel,3.07,56,56058,22091
Gintrac,3.07,46,46122,17938
Gometz-la-Ville,3.07,91,91274,36460
Gordes,3.07,84,84050,34441
Grasse,3.07,6,6069,2286
Guérande,3.07,44,44069,17329
Herbignac,3.07,44,44072,17332
La Baule-Escoublac,3.07,44,44055,17315
La Turballe,3.07,44,44211,17469
Le Croisic,3.07,44,44049,17309
Le Pouliguen,3.07,44,44135,17395
Les Molières,3.07,91,91411,36492
Méry-Bissières-en-Auge,3.07,14,14410,220809
Mesquer,3.07,44,44097,17357
Montsecret-Clairefougère,3.07,61,61292,220080
Pénestin,3.07,56,56155,22187
Perreuil,3.07,71,71347,29879
Piriac-sur-Mer,3.07,44,44125,17385
Saint-Émiland,3.07,71,71409,29941
Saint-Forget,3.07,78,78548,32580
Saint-Gervais-sur-Couches,3.07,71,71424,29955
Saint-Jean-de-Beauregard,3.07,91,91560,36534
Saint-Jean-de-Trézy,3.07,71,71431,29961
Saint-Lambert,3.07,78,78561,32586
Saint-Laurent-sur-Gorre,3.07,87,87158,35260
Saint-Lyphard,3.07,44,44175,17434
Saint-Mars-d'Égrenne,3.07,61,61421,25095
Saint-Maurice-lès-Couches,3.07,71,71464,29993
Saint-Molf,3.07,44,44183,17441
Saint-Rémy-lès-Chevreuse,3.07,78,78575,32593
Saisy,3.07,71,71493,30020
Senlisse,3.07,78,78590,32597
Septeuil,3.07,78,78591,32598
Sully,3.07,71,71530,30056
Troyon,3.07,55,55521,21979
Villejust,3.07,91,91666,36566
Bettencourt-Rivière,3.06,80,80099,33030
Chancey,3.06,70,70126,29114
Évran,3.06,22,22056,8346
Fleurac,3.06,24,24183,9099
Hauts de Bienne,3.06,39,39368,220557
Les Villages Vovéens,3.06,28,28422,220153
Longchaumois,3.06,39,39297,15785
Mohon,3.06,56,56134,22166
Monterblanc,3.06,56,56137,22169
Morbier,3.06,39,39367,15851
Prémanon,3.06,39,39441,15918
Saint-Sulpice-la-Pointe,3.06,81,81271,33988
Sury-en-Vaux,3.06,18,18258,6908
Tromarey,3.06,70,70509,29469
Vaux-Andigny,3.06,2,2769,1456
Vénéjan,3.06,30,30342,12146
Wassigny,3.06,2,2830,1516
Aixe-sur-Vienne,3.05,87,87001,35106
Beaucamps-le-Vieux,3.05,80,80062,32996
Beauvoir-en-Lyons,3.05,76,76067,31173
Béguey,3.05,33,33040,13252
Beynac,3.05,87,87015,35119
Bézancourt,3.05,76,76093,31199
Bonnieux,3.05,84,84020,34411
Bosmie-l'Aiguille,3.05,87,87021,35125
Botsorhel,3.05,29,29014,11537
Burgnac,3.05,87,87025,35129
Cadillac-sur-Garonne,3.05,33,33081,13292
Cardan,3.05,33,33098,13309
Castelmoron-sur-Lot,3.05,47,47054,18210
Castillon-Debats,3.05,32,32088,12835
Caulnes,3.05,22,22032,8322
Cérences,3.05,50,50109,19123
Cérons,3.05,33,33120,13330
Croisy-sur-Andelle,3.05,76,76201,31305
Dampierre-en-Graçay,3.05,18,18085,6735
Danzé,3.05,41,41073,16455
Droue-sur-Drouette,3.05,28,28135,11251
Émancé,3.05,78,78209,32443
Épernon,3.05,28,28140,11255
Essoyes,3.05,10,10141,3651
Férolles,3.05,45,45144,17618
Ferrières-en-Bray,3.05,76,76260,31362
Garlan,3.05,29,29059,11581
Gorrevod,3.05,1,1175,445
Gournay-en-Bray,3.05,76,76312,31414
Guerlesquin,3.05,29,29067,11589
Guimaëc,3.05,29,29073,11595
Henvic,3.05,29,29079,11601
Jourgnac,3.05,87,87081,35185
La Feuillie,3.05,76,76263,31365
Landreville,3.05,10,10187,3696
Lanmeur,3.05,29,29113,11632
Lannéanou,3.05,29,29114,11633
Le Cloître-Saint-Thégonnec,3.05,29,29034,11557
Le Pescher,3.05,19,19163,7103
Levroux,3.05,36,36093,260488
Loches-sur-Ource,3.05,10,10199,3708
Locquénolé,3.05,29,29132,11649
Lourdes,3.05,65,65286,27379
Montroty,3.05,76,76450,31552
Morlaix,3.05,29,29151,11667
Neuf-Marché,3.05,76,76463,31565
Nolléval,3.05,76,76469,31570
Notre-Dame-de-Cenilly,3.05,50,50378,19373
Pleyber-Christ,3.05,29,29163,11677
Plouégat-Guérand,3.05,29,29182,11695
Plouégat-Moysan,3.05,29,29183,11696
Plouezoc'h,3.05,29,29186,11699
Plougonven,3.05,29,29191,11704
Plouigneau,3.05,29,29199,260376
Plounéour-Ménez,3.05,29,29202,11713
Plourin-lès-Morlaix,3.05,29,29207,11718
Podensac,3.05,33,33327,13533
Raizeux,3.05,78,78516,32568
Rions,3.05,33,33355,13560
Sainte-Sève,3.05,29,29265,11771
Saint-Étienne-des-Sorts,3.05,30,30251,12055
Saint-Hilarion,3.05,78,78557,32583
Saint-Martin-le-Vieux,3.05,87,87166,35268
Saint-Pierre-es-Champs,3.05,60,60592,24573
Saint-Priest-sous-Aixe,3.05,87,87177,35277
Saint-Thégonnec Loc-Eguiner,3.05,29,29266,220665
Saint-Yrieix-sous-Aixe,3.05,87,87188,35288
Séreilhac,3.05,87,87191,35291
Terres-de-Haute-Charente,3.05,16,16192,260673
Vascoeuil,3.05,27,27672,11093
Virelade,3.05,33,33552,13751
Arcins,3.04,33,33010,13222
Bessenay,3.04,69,69021,28722
Bibost,3.04,69,69022,28723
Caderousse,3.04,84,84027,34418
Campigny,3.04,27,27126,10567
Chaleins,3.04,1,1075,354
Chevinay,3.04,69,69057,28758
Colletot,3.04,27,27163,10604
Corneville-sur-Risle,3.04,27,27174,10615
Courzieu,3.04,69,69067,28768
Cussac-Fort-Médoc,3.04,33,33146,13356
Entre-Vignes,3.04,34,34246,260537
Éveux,3.04,69,69083,28783
Glos-sur-Risle,3.04,27,27288,10725
L' Arbresle,3.04,69,69010,28712
La Chapelle-Grésignac,3.04,24,24109,9030
Lamarque,3.04,33,33220,13429
Lamonzie-Montastruc,3.04,24,24224,9137
Le Perrey,3.04,27,27263,260534
Lentilly,3.04,69,69112,28812
Les Préaux,3.04,27,27476,10905
Loisy,3.04,125,125581,51051
Manneville-sur-Risle,3.04,27,27385,10818
Montfort-sur-Risle,3.04,27,27413,10845
Pont-Audemer,3.04,27,27467,247010
Pont-Authou,3.04,27,27468,10897
Puylagarde,3.04,82,82147,34190
Quillebeuf-sur-Seine,3.04,27,27485,10913
Reyvroz,3.04,74,74222,31002
Rougemontiers,3.04,27,27497,10924
Routot,3.04,27,27500,10927
Sain-Bel,3.04,69,69171,28871
Saint-Amand-Longpré,3.04,41,41199,16577
Saint-Julien-sur-Bibost,3.04,69,69216,28916
Saint-Mards-de-Blacarville,3.04,27,27563,10988
Saint-Michel-de-Bannières,3.04,46,46283,18099
Saint-Philbert-sur-Risle,3.04,27,27587,11009
Saint-Pierre-la-Palud,3.04,69,69231,28930
Sourcieux-les-Mines,3.04,69,69177,28877
Tourville-sur-Pont-Audemer,3.04,27,27655,11076
Toutainville,3.04,27,27656,11077
Triqueville,3.04,27,27662,11083
Gouvix,3.0300000000000002,28,28618,10190
Arthez-de-Béarn,3.03,64,64057,26606
Artigues,3.03,20,20037,7165
Artix,3.03,64,64061,26610
Athis-Val de Rouvre,3.03,61,61007,220339
Aussevielle,3.03,64,64080,26628
Aydat,3.03,63,63026,26107
Baigts-de-Béarn,3.03,64,64087,26635
Banvou,3.03,61,61024,24704
Bellou-en-Houlme,3.03,61,61040,24720
Berjou,3.03,61,61044,24724
Bonnut,3.03,64,64135,26683
Bouclans,3.03,25,25078,246994
Bougarber,3.03,64,64142,26690
Boumourt,3.03,64,64144,26692
Brienon-sur-Armançon,3.03,89,89055,35873
Briouze,3.03,61,61063,24743
Cahan,3.03,61,61069,24749
Caligny,3.03,61,61070,24750
Cerisy-Belle-Étoile,3.03,61,61078,24758
Chasseneuil-sur-Bonnieure,3.03,16,16085,5856
Corent,3.03,63,63120,26201
Cornillé,3.03,35,35087,14179
Denguin,3.03,64,64198,26743
Durcet,3.03,61,61148,24825
Échalou,3.03,61,61149,24826
Ferrières-la-Verrerie,3.03,61,61166,24843
Flée,3.03,72,72134,30243
Flers,3.03,61,61169,24846
Gâprée,3.03,61,61183,24860
Hagetaubin,3.03,64,64254,26798
La Bazoque,3.03,61,61030,24710
La Chapelle-au-Moine,3.03,61,61094,24774
La Chapelle-Biche,3.03,61,61095,24775
La Chapelle-Faucher,3.03,24,24107,9028
La Coulonche,3.03,61,61124,24803
La Ferrière-aux-Étangs,3.03,61,61163,24840
La Ferté Macé,3.03,61,61168,220549
La Lande-Patry,3.03,61,61218,24895
La Madeleine-de-Nonancourt,3.03,27,27378,10811
La Selle-la-Forge,3.03,61,61466,25140
Labastide-Cézéracq,3.03,64,64288,26831
Labastide-Monréjeau,3.03,64,64290,26833
Laissey,3.03,25,25323,9782
Landigou,3.03,61,61221,24898
Landisacq,3.03,61,61222,24899
Laps,3.03,63,63188,26269
Le Crest,3.03,63,63126,26207
Le Grais,3.03,61,61195,24872
Le Ménil-Broût,3.03,61,61261,24937
Le Ménil-de-Briouze,3.03,61,61260,24936
Lembras,3.03,24,24237,9150
Les Martres-de-Veyre,3.03,63,63214,26295
Les Monts d'Andaine,3.03,61,61463,220392
Mas-Saintes-Puelles,3.03,11,11225,4172
Ménil-Hubert-sur-Orne,3.03,61,61269,24945
Messei,3.03,61,61278,24954
Mietesheim,3.03,67,67292,28072
Mirefleurs,3.03,63,63227,26307
Montilly-sur-Noireau,3.03,61,61287,24963
Neuilly-le-Bisson,3.03,61,61304,24980
Nézignan-l'Évêque,3.03,34,34182,13936
Nonancourt,3.03,27,27438,10870
Ognéville,3.03,54,54407,21341
Omelmont,3.03,54,54409,21343
Poey-de-Lescar,3.03,64,64448,26988
Saint-Amant-Tallende,3.03,63,63315,26395
Saint-André-de-Messei,3.03,61,61362,25036
Saint-Aquilin,3.03,24,24371,9277
Saint-Clair-de-Halouze,3.03,61,61376,25050
Sainte-Honorine-la-Chardonne,3.03,61,61407,25081
Sainte-Opportune,3.03,61,61436,25110
Saint-Georges-des-Groseillers,3.03,61,61391,25065
Saint-Lubin-des-Joncherets,3.03,28,28348,11451
Saint-Pierre-de-Chevillé,3.03,72,72311,30415
Saint-Pierre-du-Regard,3.03,61,61447,25121
Saires-la-Verrerie,3.03,61,61459,25133
Sault-de-Navailles,3.03,64,64510,27049
Saussignac,3.03,24,24523,9423
Serres-Sainte-Marie,3.03,64,64521,27060
Sigoulès-et-Flaugeac,3.03,24,24534,260474
Tallende,3.03,63,63425,26503
Urdès,3.03,64,64541,27080
Veyre-Monton,3.03,63,63455,26533
Vic-le-Comte,3.03,63,63457,26535
Viellenave-d'Arthez,3.03,64,64554,27092
Angoisse,3.02,24,24008,8933
Beauvain,3.02,61,61035,24715
Bessens,3.02,82,82017,34060
Brigueil-le-Chantre,3.02,86,86037,34860
Canals,3.02,82,82028,34071
Cerisy-la-Salle,3.02,50,50111,19125
Cherveix-Cubas,3.02,24,24120,9040
Corseul,3.02,22,22048,8338
Coulaures,3.02,24,24137,9056
Cubjac-Auvézère-Val d'Ans,3.02,24,24147,220840
Dieupentale,3.02,82,82048,34091
Dussac,3.02,24,24158,9076
Fondamente,3.02,12,12155,4539
Génis,3.02,24,24196,9110
Grisolles,3.02,82,82075,34118
Ivoy-le-Pré,3.02,18,18115,6765
La Seyne-sur-Mer,3.02,83,83126,34363
Lanouaille,3.02,24,24227,9140
Lezoux,3.02,63,63195,26276
Mayac,3.02,24,24262,9174
Monbéqui,3.02,82,82114,34157
Payrac,3.02,46,46215,18031
Preyssac-d'Excideuil,3.02,24,24339,9247
Saint-Cyr-les-Champagnes,3.02,24,24397,9302
Saint-Mandrier-sur-Mer,3.02,83,83153,34390
Saint-Martial-d'Albarède,3.02,24,24448,9351
Saint-Médard-d'Excideuil,3.02,24,24463,9366
Saint-Pantaly-d'Excideuil,3.02,24,24476,9377
Saint-Rustice,3.02,31,31515,12671
Saint-Sulpice-d'Excideuil,3.02,24,24505,9406
Saint-Vincent-sur-l'Isle,3.02,24,24513,9413
Sap-en-Auge,3.02,61,61460,220389
Sarlande,3.02,24,24519,9419
Sarrazac,3.02,24,24522,9422
Savignac-Lédrier,3.02,24,24526,9426
Touvois,3.02,44,44206,17464
Valdahon,3.02,25,25578,10023
Verdun-sur-Garonne,3.02,82,82190,34233
Montmaur,3.0100000000000002,16,16339,6321
Ablis,3.01,78,78003,32368
Abondant,3.01,28,28001,11122
Achery,3.01,2,2002,706
Allinges,3.01,74,74005,30798
Ambleny,3.01,2,2011,715
Anthy-sur-Léman,3.01,74,74013,30806
Arcambal,3.01,46,46007,17823
Armoy,3.01,74,74020,30812
Aunay-sous-Crécy,3.01,28,28014,11134
Ballaison,3.01,74,74025,30816
Bandol,3.01,83,83009,34247
Bellefont-La Rauze,3.01,46,46156,220836
Boinville-le-Gaillard,3.01,78,78071,32392
Boissy-en-Drouais,3.01,28,28045,11164
Bons-en-Chablais,3.01,74,74043,30832
Bournezeau,3.01,85,85034,34574
Brenthonne,3.01,74,74048,30836
Cabrerets,3.01,46,46040,17856
Cahors,3.01,46,46042,17858
Caillac,3.01,46,46044,17860
Calamane,3.01,46,46046,17862
Catus,3.01,46,46064,17880
Cervens,3.01,74,74053,30841
Chalaines,3.01,55,55097,21618
Chambon-la-Forêt,3.01,45,45069,17548
Charpont,3.01,28,28082,11201
Chens-sur-Léman,3.01,74,74070,30858
Cherisy,3.01,28,28098,11216
Cheval-Blanc,3.01,84,84038,34429
Clairefontaine-en-Yvelines,3.01,78,78164,32427
Corbreuse,3.01,91,91175,36430
Courville,3.01,51,51194,19807
Crécy-Couvé,3.01,28,28117,11235
Crugny,3.01,51,51198,19811
Douelle,3.01,46,46088,17904
Douvaine,3.01,74,74105,30892
Draillant,3.01,74,74106,30893
Dreux,3.01,28,28134,11250
Émagny,3.01,25,25217,9681
Espère,3.01,46,46095,17911
Excenevex,3.01,74,74121,30906
Fessy,3.01,74,74126,30910
Fismes,3.01,51,51250,19860
Fontanes,3.01,46,46109,17925
Garancières-en-Beauce,3.01,28,28169,11283
Garancières-en-Drouais,3.01,28,28170,11284
Garnay,3.01,28,28171,11285
Gigouzac,3.01,46,46119,17935
Jonchery-sur-Vesle,3.01,51,51308,19916
L' Isle-Adam,3.01,95,95313,36789
La Celle-les-Bordes,3.01,78,78125,32413
La Ville-aux-Clercs,3.01,41,41275,16652
Lamagdelaine,3.01,46,46149,17965
Le Boullay-Mivoye,3.01,28,28054,11173
Le Boullay-Thierry,3.01,28,28055,11174
Liez,3.01,2,2431,1125
Loisin,3.01,74,74150,30932
Louvilliers-en-Drouais,3.01,28,28216,11327
Lully,3.01,74,74156,30938
Luray,3.01,28,28223,11334
Lyaud,3.01,74,74157,30939
Margencel,3.01,74,74163,30945
Marville-Moutiers-Brûlé,3.01,28,28239,11348
Massongy,3.01,74,74171,30953
Mercuès,3.01,46,46191,18007
Messery,3.01,74,74180,30962
Mézières-en-Drouais,3.01,28,28251,11359
Montbolo,3.01,132,132226,55364
Mont-sur-Courville,3.01,51,51382,19986
