Nom de la commune adhérente,Somme de Tarif zone tarifaire 1,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Identifiant SISPEA de la commune adhérente
Sainte-Anne,8.47,1984,235554,90430
Bouillac,8.44,118,118102,47453
Châtenois,8.399999999999999,194,194289,78883
Clermont,8.39,109,109338,43556
Saint-Félix,8.38,180,181073,73649
Saint-Benoît,8.35,1075,199131,78271
Fresnes,8.34,229,229162,89805
Prunières,8.33,91,91553,36007
Loir en Vallée,8.299999999999999,216,216786,662388
Cazals,8.18,128,128107,51966
Montagne,8.16,71,71535,28697
Bagneux,8.15,200,200095,78745
Mazerolles,8.12,190,190705,78118
Avremesnil,8.11,152,152100,62314
Vars,8.09,91,92093,37840
Saint-Aignan,8.020000000000001,179,179553,73006
Pouillé,8.02,212,212560,86286
Carentan-les-Marais,7.98,150,150297,781071
Saint-Clair,7.97,221,221862,89907
Beaurepaire,7.95,199,199115,80735
Ourville-en-Caux,7.95,152,152980,63182
Grémonville,7.949999999999999,152,152650,62854
Charmoille,7.93,95,95261,38722
Fabas,7.91,122,122355,49735
Saint-Sigismond,7.91,208,208842,84781
Lagarde,7.8999999999999995,97,97787,38398
Langon,7.880000000000001,68,68372,27673
Sainte-Agnès,7.869999999999999,122,123411,49531
Bully,7.86,187,187206,76685
Gavray-sur-Sienne,7.82,150,150591,781203
Châtelus,7.81,83,83215,33379
Clos-Fontaine,7.78,77,77119,31967
Ormoy-le-Davien,7.78,60,60478,24460
Guerville,7.76,154,154624,63910
Fécamp,7.74,152,152518,62722
Perthes,7.74,206,207104,84951
Monteils,7.73,124,124453,50684
Saint-Léger-aux-Bois,7.720000000000001,136,137180,56260
Montfaucon,7.719999999999999,131,131955,51833
Mons,7.68,158,158920,64714
Chambry,7.6499999999999995,81,81391,33643
Saint-Nazaire,7.640000000000001,140,140658,57286
Brantôme en Périgord,7.630000000000001,48,48128,520764
Charny,7.62,98,98242,39676
Brie,7.610000000000001,60,60169,23216
Beaupuy,7.59,110,110115,43177
Dompierre,7.59,121,121347,49012
Saint-Estèphe,7.58,57,57793,22902
Gignac,7.56,164,164280,66241
Jaulzy,7.550000000000001,120,120648,48620
Saint-Prix,7.540000000000001,264,265877,105482
Noailles,7.54,79,79613,31536
Molières,7.53,152,152581,61351
