Nom de la commune adhérente,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Tarif zone tarifaire 1
Saint-Joseph,3010,384600,12.99
Sainte-Marie,2169,419885,20.599999999999998
Saint-Pierre,2153,403984,20.729999999999997
La Trinité,2100,352177,17.11
Saint-Louis,2070,320455,9.04
Sainte-Anne,2041,293424,13.969999999999999
Awala-Yalimapo,1946,194722,6.1499999999999995
Sainte-Rose,1945,194548,4.300000000000001
Le Lamentin,1944,194426,5.8
Saint-Paul,1387,513141,20.56
Bellefontaine,1194,319384,12.31
Saint-André,1184,308641,11.35
Saint-Denis,1108,232063,7.91
Saint-Claude,1088,215558,14.709999999999999
Saint-Benoît,1075,199131,9.98
Port-Louis,1027,153303,5.08
Sainte-Luce,1010,135641,5.42
Sainte-Suzanne,1008,132288,6.529999999999999
Le Port,983,106638,3.5
Acoua,976,97601,2.39
Bandraboua,976,97602,2.39
Bandrele,976,97603,2.39
Bouéni,976,97604,2.39
Chiconi,976,97605,2.39
Chirongui,976,97606,2.39
Dembeni,976,97607,2.39
Dzaoudzi,976,97608,2.39
Kani-Kéli,976,97609,2.39
Koungou,976,97610,2.39
Mamoudzou,976,97611,2.39
Mtsamboro,976,97612,2.39
M'Tsangamouji,976,97613,2.39
Ouangani,976,97614,2.39
Pamandzi,976,97615,2.39
Sada,976,97616,2.39
Tsingoni,976,97617,2.39
Bras-Panon,974,97402,0.98
Entre-Deux,974,97403,1.22
L' Étang-Salé,974,97404,1.42
La Plaine-des-Palmistes,974,97406,1.46
La Possession,974,97408,1.75
Le Tampon,974,97422,1.22
Les Trois-Bassins,974,97423,1.45
Saint-Leu,974,97413,1.54
Saint-Philippe,974,97417,1.22
Salazie,974,97421,2.7
Apatou,973,97360,3.78
Grand-Santi,973,97357,1.87
Iracoubo,973,97303,4.4
Macouria,973,97305,2.69
Mana,973,97306,2.01
Maripasoula,973,97353,3.17
Matoury,973,97307,2.69
Montsinéry-Tonnegrande,973,97313,2.69
Papaichton,973,97362,2.74
Remire-Montjoly,973,97309,2.69
Roura,973,97310,2.69
Saint-Laurent-du-Maroni,973,97311,2.39
Basse-Pointe,972,97203,3.16
Case-Pilote,972,97205,3.16
Ducos,972,97207,3.05
Fonds-Saint-Denis,972,97208,3.16
Fort-de-France,972,97209,2.75
Grand'Rivière,972,97211,3.16
Gros-Morne,972,97212,3.16
L' Ajoupa-Bouillon,972,97201,3.16
Le Carbet,972,97204,3.16
Le Diamant,972,97206,3.05
Le François,972,97210,3.05
Le Lorrain,972,97214,3.16
Le Marigot,972,97216,3.16
Le Marin,972,97217,3.05
Le Morne-Rouge,972,97218,3.16
Le Morne-Vert,972,97233,3.16
Le Prêcheur,972,97219,3.16
Le Robert,972,97222,2.96
Le Vauclin,972,97232,3.05
Les Anses-d'Arlet,972,97202,3.05
Les Trois-Îlets,972,97231,3.05
Macouba,972,97215,3.16
Rivière-Pilote,972,97220,3.05
Rivière-Salée,972,97221,3.05
Saint-Esprit,972,97223,3.05
Schoelcher,972,97229,2.75
Anse-Bertrand,971,97102,2.63
Baie-Mahault,971,97103,2.63
Baillif,971,97104,2.76
Basse-Terre,971,97105,2.76
Bouillante,971,97106,4.12
Capesterre-Belle-Eau,971,97107,2.63
Capesterre-de-Marie-Galante,971,97108,3.96
Deshaies,971,97111,2.34
Gourbeyre,971,97109,2.76
Goyave,971,97114,2.63
Grand-Bourg,971,97112,3.96
La Désirade,971,97110,2.63
Lamentin,971,97115,3.01
Le Gosier,971,97113,2.63
Le Moule,971,97117,2.63
Les Abymes,971,97101,2.63
Morne-à-l'Eau,971,97116,2.63
Petit-Bourg,971,97118,2.63
Petit-Canal,971,97119,2.63
Pointe-à-Pitre,971,97120,2.63
Pointe-Noire,971,97121,4.22
Saint-François,971,97125,2.63
Terre-de-Bas,971,97130,2.63
Terre-de-Haut,971,97131,2.63
Trois-Rivières,971,97132,2.5
Vieux-Fort,971,97133,3.94
Vieux-Habitants,971,97134,4.12
Sainte-Colombe,631,635280,35.7751
Varennes,454,458137,20.459999999999997
Saint-Aubin,447,451740,26.17
Saint-Sauveur,447,452459,24.85
Saint-Marcel,432,435594,24.620000000000005
Gouffern en Auge,427,430318,17.519999999999996
Bussières,412,412380,19.099999999999998
Saint-Saturnin,403,405709,20.830000000000002
Savigny,402,404095,15.069999999999999
Le Pin,385,387441,22.25
Saint-Sulpice,371,373702,17.889999999999997
La Vôge-les-Bains,352,352116,8.09
Fay,346,346882,13.1
Héricourt,342,343573,10.88
Saint-Brice,340,342561,22.299999999999997
Saint-Léger,335,337383,18.61
Saint-Maurice,334,335584,13.32
Saint-Barthélemy,331,333132,17.53
Bagneux,330,330156,19.93
Sainte-Gemme,329,331282,19.6
Brion,321,321305,15.69
Salles,321,322635,13.09
Beaumont,319,319217,17.189999999999998
Saint-Julien,317,318882,13.65
Le Malesherbois,315,316337,18.689999999999998
Juillé,311,311771,13.64
Saint-Georges,311,313736,19.65
Verrières,311,314235,21.28
Saint-Léonard,309,311656,12.030000000000001
Sauveterre,306,307463,11.77
Clères,304,304716,11.78
Saint-Hilaire,302,304620,19.089999999999996
Saint-Agnan,299,300176,13.1
Apremont,297,297097,16.169999999999998
Beaulieu,297,297194,18.669999999999998
Châtillon,295,295281,14.020000000000001
Francheville,295,296252,16.69
Chaumont,294,294442,13.83
Châteauneuf,292,292459,15.899999999999999
La Tour-en-Maurienne,292,292540,5.04
Saint-Aignan,292,293560,13.85
Saint-Martin-des-Champs,291,292818,15.86
Mazerolles,288,289453,16.21
Mont Lozère et Goulet,288,288162,12.760000000000002
Parigné-l'Évêque,288,288924,9.34
Buchy,285,285554,9.26
Faverolles,284,285262,17.3
Mâcon,284,285080,10.26
Saint-Gervais,281,282836,12.2
Saint-Pierre-le-Vieux,280,281552,9.969999999999999
Montgaillard,279,280067,12.9
Ormoy,278,279438,11.65
Beauvoir,276,276162,13.57
Ferrières,276,277063,13.09
Mons,274,275460,18.33
Saint-Michel,274,276760,16.199999999999996
Saint-Avit,273,274638,16.160000000000004
Saint-Gilles,273,275121,15.72
Saint-Hippolyte,273,275394,17.88
Sainte-Foy,272,273464,10.98
Fontenay,271,271728,9.9
Jonquières,270,270789,12.48
Saint-Clair,267,268121,12.36
Châtenois,264,264430,11.07
Saint-Symphorien,264,266262,15.48
Bully,263,263353,11.36
Lachapelle,263,263951,10.08
Sainte-Radegonde,260,262943,20.24
Clermont,257,257494,10.23
Belmont,256,256286,14.56
Saint-Loup,256,258179,18.6
Saint-Sigismond,253,254141,10.98
Maizières,252,253899,13.149999999999999
Saint-Arnoult,251,253447,12.899999999999999
Saint-Christophe,251,252598,16.64
Longueville,250,251591,16.72
Caumont,247,247823,18.3
Valmont,247,249789,9.61
Chevannes,246,246521,10.68
Villeroy,246,247777,8.75
Belforêt-en-Perche,244,244784,11.1
Conteville,243,243724,10.290000000000001
Graulhet,243,243315,8.799999999999999
Marigny,243,244270,13.23
Fleury,242,243442,16.68
Sainte-Geneviève,242,244774,14.91
Saint-Médard,242,244582,18.59
Les Bordes,241,241157,9.420000000000002
Noailles,241,242007,10.95
Saint-Rémy,241,244351,20.410000000000004
Andilly,240,240047,10.44
Crécy-en-Ponthieu,240,240666,6.879999999999999
Monts-de-Randon,240,240635,9.9
Favières,239,239816,9.559999999999999
Saint-Clément,238,240746,25.700000000000003
Melle,237,237522,8.28
Saint-Didier,237,238635,14.07
Beaufort,235,235201,11.700000000000001
Passy,234,234843,9.05
Avrainville,233,233099,8.52
Dommartin,232,232622,11.34
Rosay,232,234000,11.52
Grisy-sur-Seine,231,231654,12.314
Gurcy-le-Châtel,231,231669,11.314
Figeac,230,230510,14.620000000000001
Goupillières,230,230900,7.76
Mélisey,229,229925,6.07
Haudricourt,228,229032,8.719999999999999
Le Héron,228,229074,6.68
Marnay,227,227765,8.02
Saint-Germain,227,228743,15.440000000000001
Fresnes,224,224311,4.73
Saint-Marceau,224,225279,10.36
Saint-Germier,223,224372,10.86
Saint-Laurent,223,225107,18.07
Grigny,222,222770,6.44
Buxeuil,218,218181,10.45
Saint-Martin,218,219687,9.440000000000001
Sainte-Croix,217,219653,17.810000000000002
Ancinnes,216,216015,8.55
Berneuil,216,216225,13.77
Colombiers,216,216457,12.9
Connerré,216,216270,7.0600000000000005
La Flèche,216,216462,7.289999999999999
Lombron,216,216495,6.41
Neuville-sur-Sarthe,216,216651,7.37
Saint-Félix,216,217947,14.59
Saint-Mars-la-Brière,216,216900,7.49
Savigné-l'Évêque,216,216987,7.61
Tennie,216,217053,7.1899999999999995
Vivoin,216,217140,7.5600000000000005
Yvré-l'Évêque,216,217158,6.609999999999999
Montaut,215,216622,16.35
Saint-Cyr,215,216231,11.02
La Haye,214,214824,7.32
Sainte-Austreberthe,214,215875,8.14
Noyers,213,214312,9.09
Sarry,211,212401,12.05
Vincelles,211,212702,8.18
Belonchamp,210,210189,5.59
Gignac,210,210398,11.69
Navenne,210,211134,6.6
Selles,210,212420,9.740000000000002
Torcy,210,211831,8.91
Dompierre,209,209499,8.28
Sailly,209,210736,9.73
Saint-Urcisse,209,209825,9.030000000000001
Maillé,208,208416,8.280000000000001
Sainte-Hélène,208,209220,10.58
Louvigny,207,208330,11.84
Montigny,207,208634,11.92
Saint-Romain-en-Gal,207,207705,8.719999999999999
Émanville,206,206902,9.83
Montreuil,206,206463,5.8999999999999995
Sainte-Cécile,206,207052,10.120000000000001
Montauriol,205,205706,11.41
Maubec,204,204400,8.39
Moussy,204,205012,8.209999999999999
Ormes,204,205703,10.32
Rieussec,204,205368,16.86
Serqueux,204,205814,6.5200000000000005
Flers,203,203820,7.72
Bannes,202,202108,8.46
Chenay,202,202305,7.82
Esparron,202,202325,7.100000000000001
Grandchamp,202,202653,9.020000000000001
Moyenneville,202,203615,7.59
Bailleul,200,200117,6.47
Carentan-les-Marais,200,200396,8.61
Sartilly-Baie-Bocage,200,202260,11.379999999999999
Beaurepaire,199,199115,6.82
Saint-Germain-des-Prés,199,200231,11.53
Auteuil,198,198094,8.68
Haucourt,198,199058,8.450000000000001
Rieux,198,199648,10.8
Cernay,196,196324,10.84
Ternay,196,196821,7.36
Bouville,195,195292,7.8500000000000005
Cours,195,195243,9.100000000000001
Lagrange,195,195445,8.01
Verfeil,195,195955,7.699999999999999
Baron,194,194126,10.579999999999998
Lagarde,194,195207,13.240000000000002
Le Breuil,194,194212,11.44
Montastruc,194,194620,9.02
Sainte-Catherine,194,195256,8.12
Beaupuy,192,192129,10.49
Bours,192,192382,7.73
Buzy,192,192471,7.7299999999999995
Lasseube,192,192972,8.25
Peyre en Aubrac,192,192036,8.98
Richebourg,192,193648,5.94
Vicq,192,194097,10.77
Bonneuil-en-France,190,190176,6.12
Courcelles,190,190413,10.49
Pierrefitte,190,190708,7.08
Courpière,189,189375,7.07
Ablon-sur-Seine,188,188002,4.16
Choisy-le-Roi,188,188044,4.16
Hauteville,188,189213,8.950000000000001
L' Haÿ-les-Roses,188,188076,4.16
Rungis,188,188130,4.16
Saint-Firmin,188,189267,10.39
Thiais,188,188146,4.16
Villejuif,188,188152,4.16
Villeneuve-le-Roi,188,188154,4.16
Chiddes,187,187276,10.67
Marsac,186,186737,9.92
Menneville,186,187698,7.89
Tremblay-en-France,186,186146,5.33
Magny,185,185656,7.739999999999999
Saint-Maur,185,186900,12.969999999999999
Antony,184,184004,5.720000000000001
Bonnières,184,184392,6.949999999999999
Bourg-la-Reine,184,184028,5.720000000000001
Cahors,184,184168,12.24
Châtenay-Malabry,184,184038,5.720000000000001
Clamart,184,184046,5.720000000000001
Fontenay-aux-Roses,184,184064,5.720000000000001
Le Plessis-Robinson,184,184120,5.720000000000001
Malakoff,184,184092,5.720000000000001
Monségur,184,185052,10.74
Montagny,184,184442,8.280000000000001
Montrouge,184,184098,5.720000000000001
Rians,184,184402,4.71
Saint-Martin-du-Tertre,184,184920,5.92
Sceaux,184,184142,5.720000000000001
Aunou-sur-Orne,183,183045,7.83
Bretoncelles,183,183183,7.09
Camembert,183,183213,8.129999999999999
Cour-Maugis sur Huisne,183,183150,8.03
Écouché-les-Vallées,183,183459,9.44
Ferrières-la-Verrerie,183,183498,8.389999999999999
Guerquesalles,183,183594,5.96
Longny les Villages,183,183690,7.4
Mahéru,183,183732,8.43
Monts-sur-Orne,183,183582,9.44
Tourouvre au Perche,183,184473,8.18
Val-au-Perche,183,184452,7.1
Athis-Mons,182,182054,4.16
Briis-sous-Forges,182,182222,5.97
Bruyères-le-Châtel,182,182230,5.359999999999999
Juvisy-sur-Orge,182,182652,4.16
Gensac,180,180449,9.64
Lepuix,180,180130,4.34
Lignières,180,180835,10.41
Aube,179,179053,7.699999999999999
Ger,179,179635,8.67
Le Tronchet,179,180086,7.63
Pommiers,179,180298,13.209999999999999
Ancy-le-Franc,178,178010,5.25
Arcy-sur-Cure,178,178030,5.42
Argenteuil-sur-Armançon,178,178034,4.859999999999999
Changé,178,178166,7.08
Chassy,178,178255,9.78
Courgis,178,178246,5.4399999999999995
Deux Rivières,178,178260,4.98
Fontaine-la-Gaillarde,178,178344,5.66
Guillon-Terre-Plaine,178,178394,7.5600000000000005
La Celle-Saint-Cyr,178,178126,4.93
Michery,178,178510,5.96
Neuvy-Sautour,178,178552,5.68
Pacy-sur-Armançon,178,178568,4.859999999999999
Saint-Fargeau,178,178688,6.79
Saint-Sauveur-en-Puisaye,178,178736,5.869999999999999
Saint-Vérand,178,179189,8.91
Saligny,178,178746,5.66
Valravillon,178,178392,5.6899999999999995
Villars,178,179468,10.52929
Villers-le-Sec,178,180573,11.97
Larroque,177,177675,8.540000000000001
Aubigny,176,176089,10.549999999999999
Barville,176,176104,9.04
Chavelot,176,176198,5.2299999999999995
Granges-Aumontzey,176,176436,4.04
Le Thillot,176,176936,4.14
Maisoncelles,176,176780,6.82
Saint-Maurice-sur-Moselle,176,176852,4.02
Saint-Prix,176,177593,9.16
Tollaincourt,176,176950,4.58
Castanet,175,175149,8.25
Droisy,175,175420,4.9
Les Ormes,175,175464,6.3
Leugny,175,175351,6.3
Saint-Gratien,175,176259,3.46
Arnac-la-Poste,174,174006,4.39
Authie,174,174116,7.3
Glatigny,174,174773,7.880000000000001
Gorges,174,174655,7.34
Les Grands-Chézeaux,174,174148,5.9
Mailhac-sur-Benaize,174,174180,5.9
Montrol-Sénard,174,174200,5.13
Saint-Georges-les-Landes,174,174290,5.9
Saint-Léger-Magnazeix,174,174320,6.220000000000001
Saint-Valérien,174,174644,6.0600000000000005
Brassac,173,173114,10.33
Préaux,172,173044,10.09
Rosnay,172,172834,5.92
Saint-Pierre-d'Entremont,172,173165,7.73
Antigny,171,171011,5.18
Dannemarie,171,171456,8.74
Nalliers,171,171334,5.18
Pouillé,171,171379,5.18
Charmoy,170,170273,7.09
Poligny,170,171636,12.49
Périgny,169,170205,11.920000000000002
Romain,169,170888,11.87
Thory,169,170173,5.2
Artigues,168,168081,6.199999999999999
Beaumont-du-Ventoux,168,168030,11.629999999999999
Blandy,168,168101,6.4799999999999995
Buc,168,168137,4.54
Givry,168,168604,8.620000000000001
Rancourt,168,169034,5.49
Saint-Sylvestre,168,168734,7.390000000000001
Suzanne,168,169919,6.79
Baugy,167,167118,11.73
Bois-d'Arcy,167,167122,5.35
Brousse,167,167130,8.299999999999999
La Boissière,167,167290,13.34
La Celle,167,167190,13
Les Forges,167,167302,5.17
Massy,167,167792,4.68
Méré,167,167639,4.6899999999999995
Perrigny,167,168117,8.21
Barjols,166,166024,2.38
Bellengreville,166,166199,7.8
Carqueiranne,166,166068,4.8100000000000005
La Verdière,166,166292,3.0100000000000002
Marolles,166,167268,9.809999999999999
Montauroux,166,166162,4.55
Sagy,166,166914,5.13
Saint-Martin-de-Pallières,166,166228,2.54
Sapois,166,167448,6.699999999999999
Varages,166,166290,2.94
Vinon-sur-Verdon,166,166300,4.65
Clermont-en-Argonne,165,165351,7.620000000000001
Croisilles,165,165722,10.79
Fourneaux,165,165407,7.380000000000001
La Chapelle-Bâton,165,165125,5.62
Magné,165,165303,5.68
Surin,165,165586,6.12
Volnay,165,166476,8.54
Vouillé,165,165649,5.65
Beauvallon,164,164400,8.02
Bourg-de-Visa,164,164044,7.62
Caussade,164,164074,6.7
Cazes-Mondenard,164,164084,6.25
Changy,164,164257,9.52
Chanteloup,164,164243,9.190000000000001
Corbarieu,164,164088,5.02
Faudoas,164,164118,8.2
Lansac,164,164579,7.180000000000001
Moissac,164,164224,5.51
Montauban,164,164242,5.26
Montpezat-de-Quercy,164,164262,7.470000000000001
Verdun-sur-Garonne,164,164380,6.26
Montesquieu,163,163481,8
Parisot,163,163339,5.97
Albi,162,162008,5.49
Champeaux,162,162251,8.51
Chanteheux,162,162348,6.85
Chilly,162,162387,7.370000000000001
Dourgne,162,162162,5.0600000000000005
Gaillac,162,162198,6.05
La Chaussée,162,162242,5.88
Labruguière,162,162240,5.32
Lacabarède,162,162242,3.11
Lempaut,162,162284,5.0600000000000005
Massaguel,162,162320,4.24
Montdurausse,162,162350,6.74
Montredon-Labessonnié,162,162364,5.55
Pampelonne,162,162402,5.42
Puylaurens,162,162438,5.0600000000000005
Réalmont,162,162444,5.55
Rouairoux,162,162462,4.67
Saint-Gauzens,162,162496,6.279999999999999
Tanus,162,162584,5.42
Teyssode,162,162598,5.87
Urville,162,164201,10.51
Viviers-lès-Montagnes,162,162650,5.42
Igny,161,161601,4.6
Les Angles,161,161026,6.47
Longchamp,161,161915,6.9799999999999995
Saint-Florentin,161,161727,7.84
Saint-Georges-du-Bois,161,161898,7.67
Sendets,161,162547,8.53
Acheux-en-Amiénois,160,160006,4.92
Ailly-sur-Noye,160,160020,4.14
Arquèves,160,160056,4.92
Arvillers,160,160062,4.48
Beaucourt-sur-l'Ancre,160,160130,4.92
Beaumont-Hamel,160,160138,4.92
Bertrancourt,160,160190,4.92
Bouzincourt,160,160258,4.92
Bus-lès-Artois,160,160306,4.92
Carnoy-Mametz,160,161010,4.92
Chuignolles,160,160390,4.92
Colombier,160,160621,13.940000000000001
Contalmaison,160,160412,4.92
Courcelles-au-Bois,160,160434,4.92
Étinehem-Méricourt,160,160590,4.52
Étréchy,160,160555,10.040000000000001
Fontaines,160,160375,5.67
Forceville,160,160658,4.92
Fricourt,160,160732,4.92
Harponville,160,160840,4.92
Hédauville,160,160850,4.92
Hérissart,160,160862,4.92
Hescamps,160,160872,4.4
Irles,160,160902,4.92
Léalvillers,160,160940,4.92
Loupiac,160,160580,8.52
Louvencourt,160,160986,4.92
Maisnières,160,161000,4.79
Millencourt,160,161094,4.92
Miraumont,160,161098,4.92
Moreuil,160,161140,4.1899999999999995
Ô-de-Selle,160,160970,4.390000000000001
Puchevillers,160,161290,4.92
Pys,160,161296,4.92
Raincheval,160,161318,4.92
Roisel,160,161354,5.08
Saint-Léger-lès-Authie,160,161410,4.92
Saint-Privé,160,160836,7.01
Senlis-le-Sec,160,161466,4.92
Tauriac,160,161131,7.69
Toutencourt,160,161532,4.92
Vauchelles-lès-Authie,160,161554,4.92
La Salle,159,159932,4.55
Lassay-les-Châteaux,159,159381,8.01
Lignières-Orgères,159,159399,9.5
Ainvelle,158,158012,4.05
Campagne,158,158306,9.77
Celles-sur-Belle,158,158122,5.68
Chef-Boutonne,158,158166,6
Fouchécourt,158,158423,3.77
Maurepas,158,158904,5.04
Saint-Vallier,158,159329,10.450000000000001
Saint-Vincent,158,159420,7.1
Vailly,158,158965,9.850000000000001
Fromentières,157,157465,7.59
La Chaux,157,157364,8.58
Le Pontet,157,157297,4.36
Meigneux,157,157811,6.204000000000001
Orgères,157,157842,7.26
Saint-Savin,157,158174,7.029999999999999
Subligny,157,158244,9.75
Avon,156,156037,4.45
Élancourt,156,156416,4.59
Grandcourt,156,156704,5.77
Le Ham,156,156451,7.88
Prades,156,156593,7.69
Villepreux,156,157348,4.62
Nointel,155,155916,5.3100000000000005
Bezalles,154,154066,8.6103
Bonneville,154,154155,4.640000000000001
Bransles,154,154100,5.609999999999999
Chalais,154,154231,11.899999999999999
Chartrettes,154,154192,5.15
Chauffry,154,154212,7.380000000000001
Chenoise-Cucharmoy,154,154218,9.101700000000001
Citry,154,154234,7.720000000000001
Compans,154,154246,5.26
Coulommiers,154,154262,7.380000000000001
Freneuse,154,154537,4.97
Giremoutiers,154,154412,7.75
Guérard,154,154438,7.75
Guerville,154,154624,5.65
Jouarre,154,154476,7.720000000000001
La Celle-sur-Morin,154,154126,7.75
La Ferté-Gaucher,154,154364,9.27
Le Châtelet-en-Brie,154,154200,7.8500000000000005
Le Mené,154,154322,22.520000000000003
Lesches,154,154496,6.62
Limoges-Fourches,154,154504,7.14
Lissy,154,154506,7.14
Luzancy,154,154530,7.720000000000001
Marles-en-Brie,154,154554,6.27
Moret-Loing-et-Orvanne,154,154632,5.85
Mouroux,154,154640,7.380000000000001
Passy-sur-Seine,154,154712,8.443999999999999
Plaisance,154,154862,12.32
Reuil-en-Brie,154,154776,7.720000000000001
Sammeron,154,154880,5.59
Seine-Port,154,154894,4.46
Soisy-Bouy,154,154912,9.71
Varennes-sur-Seine,154,154964,4.029999999999999
Villiers-sur-Morin,154,155042,6.76
Hauterive,153,153528,8.34
Avremesnil,152,152100,6.029999999999999
Bacqueville-en-Caux,152,152102,5.390000000000001
Bailleul-Neuville,152,152104,6.16
Barentin,152,152114,5.37
Beauval-en-Caux,152,152126,5.6899999999999995
Biville-la-Baignarde,152,152192,5.6899999999999995
Biville-la-Rivière,152,152194,5.76
Blainville-Crevon,152,152200,3.9799999999999995
Bosc-Bordel,152,152240,4.68
Brémontier-Merval,152,152284,4.71
Colleville,152,152366,5.88
Contremoulins,152,152374,5.29
Crespin,152,152317,8.280000000000001
Criel-sur-Mer,152,152384,5.54
Criquiers,152,152398,5.51
Critot,152,152400,5.9
Doudeville,152,152438,4.609999999999999
Elbeuf-sur-Andelle,152,152460,4.54
Ennery,152,152404,4.66
Eu,152,152510,5.0600000000000005
Fallencourt,152,152514,6.52
Fécamp,152,152518,5.5600000000000005
Fontaine-le-Bourg,152,152542,5.5
Forges-les-Eaux,152,152552,4.8100000000000005
Frichemesnil,152,152580,6.1
Fry,152,152584,4.71
Gaillefontaine,152,152590,5.3
Ganzeville,152,152596,5.59
Grémonville,152,152650,5.1
Harcanville,152,152680,4.609999999999999
Hodeng-Hodenger,152,152728,4.71
Hugleville-en-Caux,152,152740,5.77
Imbleville,152,152746,5.04
La Fontelaye,152,152548,5.04
Lammerville,152,152760,5.92
Le Mesnil-Lieubray,152,152862,4.71
Limésy,152,152770,5.300000000000001
Mauquenchy,152,152840,4.68
Molières,152,152581,8.030000000000001
Morgny-la-Pommeraye,152,152906,4.55
Morville-sur-Andelle,152,152910,4.71
Osmoy-Saint-Valery,152,152974,4.83
Pavilly,152,152990,5.37
Petit-Caux,152,153236,5.54
Reuville,152,153048,4.88
Ricarville-du-Val,152,153052,4.83
Roncherolles-en-Bray,152,153070,4.68
Saâne-Saint-Just,152,153098,5.92
Saint-André-sur-Cailly,152,153110,5.02
Saint-Denis-d'Aclon,152,153144,6.029999999999999
Saint-Denis-le-Thiboult,152,153146,3.96
Saint-Denis-sur-Scie,152,153148,6.26
Saint-Germain-d'Étables,152,153164,4.96
Saint-Laurent-en-Caux,152,153194,4.88
Saint-Maclou-de-Folleville,152,153204,6.26
Saint-Mards,152,153208,5.6899999999999995
Saint-Ouen-du-Breuil,152,153256,5.77
Saint-Saëns,152,153296,5.3100000000000005
Saint-Vaast-d'Équiqueville,152,153304,4.83
Saint-Victor-l'Abbaye,152,153312,6.26
Terres-de-Caux,152,152516,5.25
Thil-Manneville,152,153380,6.029999999999999
Thoiry,152,153328,6.98
Tocqueville-en-Caux,152,153388,5.76
Toussaint,152,153416,5.29
Val-de-Saâne,152,152036,5.04
Val-de-Scie,152,152068,6.26
Veulettes-sur-Mer,152,153472,5.32
Vibeuf,152,153474,5.1
Vigny,152,153373,5.1899999999999995
Péronne,151,151965,5.529999999999999
Saint-Cyprien,151,151973,9.95
Avranches,150,150075,9.129999999999999
Clessé,150,150229,6.24
Gavray-sur-Sienne,150,150591,10.74
L' Isle-Jourdain,150,150432,7.9
Longnes,150,150512,6.08
Quettreville-sur-Sienne,150,151257,8.879999999999999
Ramecourt,150,151054,4.29
Roye,150,151140,4.45
Sainte-Mère-Église,150,151569,7.029999999999999
Saint-Jean-des-Champs,150,151479,8.59
Saint-Mard,150,151940,12.89
Tirepied-sur-Sée,150,151791,9.129999999999999
Vauvillers,150,151307,4.35
Allonnes,149,149009,7.43
Croix,149,149193,4.529999999999999
Cuy,149,149328,6.59
Franconville,149,149461,6.6899999999999995
La Bastide,149,149031,3.8499999999999996
Leval,149,149410,5.08
Montfaucon,149,150486,14.86
Rosoy,149,149873,4.88
Versonnex,149,150029,4.72
Amancy,148,148014,4.08
Bassy,148,148058,2.16
Chêne-en-Semine,148,148136,2.08
Chessenaz,148,148142,2.37
Clarafond-Arcine,148,148154,2.91
Crempigny-Bonneguête,148,148190,2.44
Éloise,148,148218,1.97
Franclens,148,148260,1.87
Jussy,148,148961,7.78
Les Mées,148,148500,8.11
Lucey,148,148835,6.819999999999999
Mont-Saint-Martin,148,149545,9.02
Rosières,148,148975,9.11
Saint-Germain-sur-Rhône,148,148470,2.26
Usinens,148,148570,2.04
Vanzy,148,148582,2.73
Vieux-Moulin,148,149180,4.42
Buthiers,147,147169,5.890000000000001
Fleuré,147,147269,4.99
Héry,147,147334,5.84
La Couture,147,147326,4.41
Saint-Just,147,148863,16.22
Aime-la-Plagne,146,146012,5.43
Belval,146,146155,6.630000000000001
Brignac,146,146091,7.489999999999999
Chessy,146,146167,4.77
Courchevel,146,146454,6.41
Gargas,146,146469,7.059999999999999
Hauteluce,146,146264,7.92
La Plagne Tarentaise,146,146300,4.96
Les Belleville,146,146514,4.51
Myans,146,146366,4.04
Pierrecourt,146,146909,6.1899999999999995
Porte-de-Savoie,146,146302,4.62
Saint François Longchamp,146,146470,4.26
Viviers,146,147209,5.199999999999999
Voglans,146,146658,4.79
Auterive,145,145058,9.629999999999999
Charmes,145,145424,10.75
Nozay,145,145840,7.4
Puzieux,145,145923,5.279999999999999
Saint-Eusèbe,145,145643,5.41
Sully,145,146834,9.79
Vers,145,145868,5.41
Viry,145,145895,6.8
Aigné,144,144002,4.32
Amné,144,144008,5.35
Asnois,144,144028,6.13
Assé-le-Boisne,144,144022,5.46
Assé-le-Riboul,144,144024,4.84
Avesnes-en-Saosnois,144,144036,5.75
Ballon-Saint Mars,144,144046,5.3100000000000005
Beaufay,144,144052,4.77
Beaumont-sur-Sarthe,144,144058,4.84
Bernay-Neuvy-en-Champagne,144,144438,4.58
Brains-sur-Gée,144,144090,5.35
Brette-les-Pins,144,144094,4.640000000000001
Champagné,144,144108,4.13
Charmois,144,144142,6.89
Chérisay,144,144158,5.57
Cherré-Au,144,144160,4.7
Cogners,144,144170,5.25
Contilly,144,144182,5.73
Coulans-sur-Gée,144,144192,5.35
Coulongé,144,144196,5.35
Courceboeufs,144,144198,5.07
Courgains,144,144208,5.75
Dollon,144,144236,4.3
Dury,144,144814,7.51
Écommoy,144,144248,4.8100000000000005
Épineu-le-Chevreuil,144,144252,5.3100000000000005
Étival-lès-le-Mans,144,144254,5.58
Fercé-sur-Sarthe,144,144262,6.09
Fresnay-sur-Sarthe,144,144276,5.35
Fyé,144,144278,5.57
Gorges du Tarn Causses,144,144438,9.799999999999999
Juigné-sur-Sarthe,144,144302,5.24
La Bazoge,144,144048,4.83
La Chapelle-du-Bois,144,144124,4.54
La Chapelle-Saint-Rémy,144,144134,4.29
La Ferté-Bernard,144,144264,4.27
La Malène,144,144264,9.799999999999999
La Milesse,144,144396,4.32
La Quinte,144,144498,4.85
Le Grand-Lucé,144,144286,4.35
