DPT de la commune,D102.0,Année
78,4.22,2012
78,,2012
77,,2012
91,,2012
91,,2012
95,,2012
78,,2012
91,,2012
78,,2012
95,,2012
77,,2012
77,,2012
91,,2012
95,,2012
91,,2012
92,4.22,2012
91,,2012
77,,2012
91,,2012
94,2.05,2012
91,,2012
77,,2012
77,,2012
77,,2012
91,,2012
93,2.05,2012
77,,2012
77,,2012
92,,2012
77,,2012
94,2.05,2012
77,,2012
77,,2012
91,,2012
77,,2012
78,1.88,2012
77,,2012
77,2.05,2012
93,,2012
78,4.22,2012
77,,2012
93,2.05,2012
78,,2012
77,,2012
95,2.05,2012
78,,2012
77,,2012
77,,2012
95,2.05,2012
91,,2012
78,,2012
94,2.05,2012
77,,2012
91,,2012
77,,2012
77,,2012
77,,2012
77,,2012
94,2.05,2012
77,1.92,2012
78,2.05,2012
91,,2012
94,,2012
77,,2012
77,,2012
78,4.22,2012
77,,2012
77,,2012
77,2.08,2012
77,,2012
77,,2012
78,2.05,2012
95,,2012
95,,2012
91,2.05,2012
91,,2012
77,,2012
91,,2012
77,,2012
95,2.05,2012
77,,2012
91,,2012
77,2.54,2012
78,4.22,2012
78,3.05,2012
77,,2012
95,,2012
91,,2012
91,,2012
93,2.05,2012
78,,2012
95,1.91,2012
91,,2012
91,,2012
91,,2012
77,1.92,2012
78,,2012
91,,2012
77,,2012
91,,2013
95,,2013
78,2.42,2013
94,2.04,2013
78,,2013
77,,2013
78,3.13,2013
78,1.91,2013
95,,2013
94,2.04,2013
78,2.42,2013
95,,2013
77,,2013
78,2.02,2013
95,2.04,2013
77,,2013
78,,2013
91,,2013
91,,2013
77,,2013
92,2.04,2013
77,,2013
94,,2013
95,2.04,2013
77,,2013
77,1.98,2013
95,,2013
78,,2013
91,,2013
91,,2013
95,,2013
92,2.34,2013
91,2.04,2013
95,,2013
78,,2013
93,2.04,2013
77,3.32,2013
78,,2013
77,,2013
93,2.04,2013
78,,2013
77,,2013
78,2.02,2013
91,1.53,2013
78,2.02,2013
91,,2013
91,,2013
95,2.04,2013
95,,2013
77,,2013
91,,2013
77,,2013
77,3.32,2013
92,2.04,2013
93,,2013
95,,2013
78,3.12,2013
77,,2013
91,,2013
91,,2013
77,,2013
77,,2013
77,2.1,2013
77,,2013
77,,2013
77,,2013
91,,2013
78,2.02,2013
77,,2013
78,2.02,2013
95,2.04,2013
77,,2013
77,,2013
95,,2013
77,,2013
77,,2013
95,,2013
77,,2013
78,2.84,2013
77,2.04,2013
95,,2013
95,2.04,2013
77,,2013
78,2.02,2013
77,,2013
95,2.04,2013
91,2.04,2013
91,,2013
77,4.62,2013
93,,2013
91,,2013
78,,2013
78,2.42,2013
78,2.02,2013
92,2.34,2013
91,,2013
78,3.12,2013
77,,2013
77,,2013
95,1.9,2013
78,,2013
77,,2013
77,,2013
77,,2013
94,,2013
77,,2013
91,,2013
77,,2013
91,,2013
91,,2013
78,2.02,2013
91,,2013
77,,2013
77,,2013
91,,2013
93,,2013
78,,2013
95,,2013
94,,2013
78,,2013
95,,2013
78,3.12,2013
77,,2013
77,,2013
92,2.04,2013
91,,2013
78,3.13,2013
92,2.04,2013
77,,2013
91,,2013
91,1.53,2013
77,,2013
91,,2013
91,,2013
77,2.54,2013
95,,2013
77,,2013
78,,2013
91,,2013
91,,2013
95,,2013
91,,2013
91,,2013
77,2.04,2013
91,,2013
78,,2013
91,,2013
91,,2013
94,2.04,2013
95,2.81,2013
91,,2013
78,,2013
78,3.12,2013
78,,2013
78,,2013
91,,2013
77,,2013
91,,2013
77,,2013
77,2.4,2013
77,2.4,2013
77,,2013
95,2.04,2013
78,2.02,2013
95,2.04,2013
94,,2013
77,2.1,2013
77,2.4,2013
78,,2013
78,,2013
95,1.9,2013
77,,2013
91,,2013
77,,2013
77,,2013
77,,2013
77,,2013
77,,2013
77,,2013
77,,2013
77,,2013
91,,2013
91,,2013
91,,2013
78,1.91,2013
77,,2013
77,,2013
95,,2013
77,,2013
77,,2013
91,,2013
77,,2013
77,,2013
94,2.04,2013
91,,2013
91,,2013
77,,2013
77,,2013
77,,2013
78,,2013
78,,2013
94,2.04,2013
77,,2013
77,,2013
95,2.81,2013
77,,2013
77,,2013
91,2.42,2013
78,,2013
77,,2013
91,,2013
77,,2013
77,,2013
95,,2013
95,2.04,2013
78,3.12,2013
92,2.04,2013
77,2.04,2013
95,1.93,2013
94,2.04,2013
77,,2013
91,,2013
77,,2013
91,,2013
94,,2013
77,3.32,2013
77,,2013
77,4.62,2013
91,,2013
77,,2013
94,2.04,2013
77,2.53,2013
78,3.12,2013
92,2.04,2013
77,,2013
77,3.32,2013
92,2.04,2013
77,,2013
77,2.04,2013
77,,2013
78,,2013
78,2.42,2013
92,2.04,2013
77,,2013
92,2.04,2013
93,2.04,2013
77,2.61,2013
77,1.98,2013
78,3.12,2013
77,2.4,2013
92,2.34,2013
77,,2013
95,,2013
77,1.93,2013
77,2.4,2013
77,,2013
78,3.13,2013
95,,2013
78,,2013
91,,2013
77,1.98,2013
91,,2013
91,2.42,2013
95,2.04,2013
95,2.81,2013
77,,2013
93,2.04,2013
77,,2013
77,1.98,2013
77,,2013
77,,2013
77,,2013
91,,2013
92,2.34,2013
77,2.1,2013
77,,2013
95,1.9,2013
91,,2013
77,2.39,2013
91,,2013
77,,2013
77,4.25,2013
77,2.4,2013
77,,2013
77,,2013
78,1.91,2013
77,,2013
77,,2013
78,,2013
91,,2013
77,1.98,2013
77,2.04,2013
77,,2013
77,,2013
94,,2013
77,1.93,2013
77,,2013
91,,2013
77,,2013
77,,2013
77,1.93,2013
78,,2013
77,,2013
77,2.4,2013
78,2.27,2013
91,,2013
77,3.32,2013
78,1.91,2013
95,2.04,2013
77,1.98,2013
77,4.62,2013
95,2.04,2013
77,,2013
77,,2013
91,,2013
77,1.98,2013
93,2.04,2013
78,,2013
93,2.04,2013
95,2.04,2013
78,,2013
95,2.04,2013
95,,2013
95,2.04,2013
77,,2013
77,2.1,2013
77,,2013
77,,2013
77,2.22,2013
78,,2013
77,3.32,2013
77,,2013
78,1.91,2013
78,,2013
91,,2013
77,,2013
78,2.02,2013
78,,2013
78,,2013
78,,2013
77,,2013
91,,2013
77,,2013
77,,2013
77,,2013
77,2.61,2013
78,,2013
78,,2013
77,2.22,2013
92,2.04,2013
78,3.12,2013
91,,2013
91,,2013
94,2.04,2013
77,,2013
77,2.1,2013
91,,2013
95,,2013
77,,2013
95,2.04,2013
78,2.84,2013
94,,2013
77,,2013
77,,2013
95,1.79,2013
95,,2013
95,2.81,2013
95,2.04,2013
77,,2013
77,,2013
77,,2013
93,2.04,2013
78,,2013
78,2.02,2013
78,2.02,2013
78,2.02,2013
78,2.02,2013
92,3.12,2013
77,,2013
78,,2013
95,,2013
77,,2013
78,3.13,2013
92,2.34,2013
94,,2013
77,,2013
77,1.98,2013
77,,2013
91,,2013
77,,2013
91,,2013
91,,2013
91,,2013
78,2.84,2013
95,,2013
77,,2013
78,2.02,2013
93,2.04,2013
78,,2013
77,2.4,2013
95,,2013
78,3.13,2013
77,2.61,2013
77,,2013
78,,2013
77,,2013
77,2.39,2013
91,,2013
77,,2013
77,,2013
95,2.04,2013
78,2.02,2013
77,1.78,2013
77,2.4,2013
78,,2013
78,,2013
91,,2013
77,,2013
91,,2013
91,,2013
78,,2013
77,,2013
78,3.12,2013
77,,2013
95,2.81,2013
78,,2013
78,,2013
77,,2013
95,2.04,2013
78,3.13,2013
77,,2013
77,,2013
78,,2013
78,2.04,2013
95,1.79,2013
77,,2013
95,,2013
77,,2013
91,2.04,2013
77,1.98,2013
77,,2013
78,,2013
92,2.04,2013
91,,2013
77,,2013
94,,2013
77,,2013
77,1.98,2013
78,,2013
91,,2013
91,,2013
77,,2013
94,2.04,2013
77,2.4,2013
77,,2013
78,2.02,2013
78,,2013
78,2.04,2013
77,,2013
95,1.9,2013
77,,2013
77,1.93,2013
78,,2013
77,,2013
91,2.04,2013
78,,2013
94,2.04,2013
95,,2013
78,,2013
93,2.04,2013
78,3.13,2013
77,2.1,2013
78,3.12,2013
78,2.42,2013
77,,2013
77,,2013
77,,2013
77,,2013
95,2.82,2013
77,,2013
93,2.04,2013
78,,2013
91,,2013
77,,2013
77,,2013
91,,2013
91,,2013
95,2.04,2013
92,2.34,2013
77,2.53,2013
77,2.1,2013
77,,2013
78,3.13,2013
77,2.04,2013
77,,2013
91,,2013
94,2.5,2013
78,2.02,2013
95,,2013
77,,2013
77,,2013
77,,2013
78,3.12,2013
91,,2013
95,1.79,2013
77,2.4,2013
78,,2013
77,,2013
91,,2013
95,,2013
77,2.1,2013
95,2.81,2013
93,,2013
93,2.04,2013
78,3.12,2013
77,,2013
91,,2013
95,2.81,2013
94,,2013
77,1.93,2013
78,2.02,2013
78,2.04,2013
77,,2013
91,,2013
78,,2013
95,,2013
78,2.02,2013
94,2.04,2013
77,2.4,2013
95,2.04,2013
95,,2013
77,1.98,2013
91,,2013
92,2.04,2013
94,2.5,2013
77,,2013
77,1.93,2013
78,,2013
93,,2013
93,2.04,2013
78,3.13,2013
78,,2013
78,2.02,2013
91,,2013
77,,2013
78,,2013
78,1.91,2013
78,3.13,2013
77,2.04,2013
78,3.12,2013
78,2.02,2013
91,,2013
93,,2013
78,2.04,2013
77,,2013
78,2.02,2013
78,,2013
77,,2013
93,2.04,2013
91,,2013
77,,2013
77,,2013
77,,2013
91,,2013
77,,2013
91,,2013
92,2.04,2013
77,,2013
78,,2013
94,,2013
78,2.84,2013
77,,2013
91,,2013
91,,2013
91,,2013
77,,2013
77,2.39,2013
95,,2013
93,2.04,2013
77,,2013
77,,2013
77,1.98,2013
77,,2013
91,,2013
78,,2013
77,1.93,2013
91,,2013
95,,2013
77,,2013
78,2.42,2013
77,4.62,2013
77,,2013
78,3.12,2013
77,,2013
77,2.82,2013
77,,2013
95,,2013
77,,2013
78,2.02,2013
77,,2013
95,,2013
78,,2013
95,2.82,2013
77,,2013
78,2.02,2013
77,,2013
77,,2013
77,,2013
77,,2013
94,2.04,2013
78,,2013
91,,2013
92,2.04,2013
94,,2013
78,,2013
78,,2013
77,1.93,2013
77,,2013
91,,2013
78,2.02,2013
78,,2013
78,2.02,2013
78,2.02,2013
77,,2013
95,2.04,2013
95,2.81,2013
77,2.22,2013
95,,2013
78,,2013
92,3.12,2013
91,,2013
77,,2013
91,,2013
77,2.1,2013
77,1.98,2013
91,2.04,2013
91,,2013
78,2.02,2013
77,,2013
78,1.9,2013
77,1.93,2013
78,3.12,2013
77,1.98,2013
77,,2013
77,,2013
77,,2013
77,,2013
77,,2013
91,,2013
95,1.79,2013
95,1.9,2013
91,,2013
77,,2013
92,2.04,2013
78,,2013
78,2.02,2013
91,,2013
78,2.02,2013
77,2.1,2013
77,,2013
78,3.13,2013
91,,2013
77,,2013
95,,2013
77,,2013
91,,2013
78,2.3,2013
91,,2013
77,,2013
78,2.02,2013
78,,2013
77,,2013
77,,2013
77,,2013
77,,2013
77,2.1,2013
77,,2013
78,,2013
93,2.04,2013
78,2.02,2013
91,,2013
77,1.93,2013
77,,2013
77,,2013
78,3.12,2013
77,,2013
95,2.04,2013
77,2.53,2013
91,,2013
95,2.04,2013
77,2.1,2013
95,2.04,2013
95,2.04,2013
77,,2013
93,,2013
92,2.04,2013
77,,2013
95,,2013
77,,2013
78,1.91,2013
77,2.53,2013
91,,2013
77,1.76,2013
91,,2013
91,,2013
77,2.04,2013
77,,2013
77,,2013
95,,2013
77,,2013
78,,2013
95,2.81,2013
77,1.93,2013
77,1.93,2013
77,,2013
78,1.91,2013
78,,2013
95,2.04,2013
91,1.53,2013
77,,2013
95,2.04,2013
78,2.02,2013
78,,2013
78,,2013
91,,2013
77,,2013
77,2.78,2013
77,,2013
77,2.67,2013
92,2.34,2013
77,,2013
77,,2013
77,1.93,2013
78,2.02,2013
78,2.02,2013
78,,2013
77,3.32,2013
95,,2013
77,2.22,2013
93,2.04,2013
95,2.81,2013
93,2.04,2013
92,2.04,2013
95,1.9,2013
94,2.04,2013
95,,2013
94,,2013
77,,2013
77,2.1,2013
93,2.04,2013
78,3.12,2013
93,,2013
95,,2013
77,,2013
77,,2013
78,2.84,2013
77,,2013
91,,2013
78,,2013
77,1.98,2013
78,,2013
77,1.93,2013
91,,2013
91,,2013
78,2.42,2013
78,2.02,2013
78,1.91,2013
94,,2013
77,,2013
77,3.32,2013
94,,2013
91,,2013
91,,2013
78,2.42,2013
91,,2013
78,2.42,2013
91,,2013
78,,2013
78,2.02,2013
95,1.9,2013
77,1.93,2013
77,2.5,2013
77,,2013
91,2.04,2013
77,4.62,2013
77,,2013
93,,2013
78,2.42,2013
75,1.76,2013
95,,2013
77,,2013
77,,2013
91,,2013
77,,2013
78,,2013
95,,2013
77,,2013
77,,2013
93,2.04,2013
95,2.04,2013
95,2.04,2013
78,3.12,2013
91,1.53,2013
77,,2013
78,3.13,2013
77,,2013
78,,2013
77,,2013
77,,2013
77,2.4,2013
77,2.5,2013
77,2.5,2013
78,2.42,2013
95,1.9,2013
78,,2013
95,,2013
77,2.39,2013
77,,2013
77,,2013
78,2.42,2013
78,2.02,2013
91,,2013
77,,2013
91,,2013
95,1.9,2013
77,1.98,2013
91,,2013
92,2.04,2013
94,,2013
77,,2013
77,,2013
